Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
45	6410017	6410017	6410017	6410017	6410017	6410017	6410017	5120
46	7068937	7068937	7068937	7068937	7068937	7068937	7068937	5120
47	7787159	7787159	7787159	7787159	7787159	7787159	7787159	5120
48	8570021	8570021	8570021	8570021	8570021	8570021	8570021	5120
49	9423341	9423341	9423341	9423341	9423341	9423341	9423341	5120
50	10353460	10353460	10353460	10353460	10353460	10353460	10353460	5120
51	11367289	11367289	11367289	11367289	11367289	11367289	11367289	5120
52	12472363	12472363	12472363	12472363	12472363	12472363	12472363	5120
53	13676894	13676894	13676894	13676894	13676894	13676894	13676894	5120
54	14989833	14989833	14989833	14989833	14989833	14989833	14989833	5120
55	16420936	16420936	16420936	16420936	16420936	16420936	16420936	5120
56	17980838	17980838	17980838	17980838	17980838	17980838	17980838	5120
57	19681131	19681131	19681131	19681131	19681131	19681131	19681131	5120
58	21534451	21534451	21534451	21534451	21534451	21534451	21534451	5120
59	23554569	23554569	23554569	23554569	23554569	23554569	23554569	5120
60	25756499	25756499	25756499	25756499	25756499	25756499	25756499	5120
61	28156602	28156602	28156602	28156602	28156602	28156602	28156602	5120
62	30772714	30772714	30772714	30772714	30772714	30772714	30772714	5120
63	33624276	33624276	33624276	33624276	33624276	33624276	33624276	5120
64	36732479	36732479	36732479	36732479	36732479	36732479	36732479	5120
65	40120420	40120420	40120420	40120420	40120420	40120420	40120420	5120
66	43813276	43813276	43813276	43813276	43813276	43813276	43813276	5120
67	47838488	47838488	47838488	47838488	47838488	47838488	47838488	5120
68	52225970	52225970	52225970	52225970	52225970	52225970	52225970	5120
69	57008326	57008326	57008326	57008326	57008326	57008326	57008326	5120
70	62221093	62221093	62221093	62221093	62221093	62221093	62221093	5120
71	67903009	67903009	67903009	67903009	67903009	67903009	67903009	5120
72	74096298	74096298	74096298	74096298	74096298	74096298	74096298	5120
73	80846983	80846983	80846983	80846983	80846983	80846983	80846983	5120
74	88205229	88205229	88205229	88205229	88205229	88205229	88205229	5120
75	96225718	96225718	96225718	96225718	96225718	96225718	96225718	5120
76	104968050	104968050	104968050	104968050	104968050	104968050	104968050	5120
77	114497193	114497193	114497193	114497193	114497193	114497193	114497193	5120
78	124883958	124883958	124883958	124883958	124883958	124883958	124883958	5120
79	136205533	136205533	136205533	136205533	136205533	136205533	136205533	5120
80	148546048	148546048	148546048	148546048	148546048	148546048	148546048	5120
81	161997211	161997211	161997211	161997211	161997211	161997211	161997211	5120
82	176658978	176658978	176658978	176658978	176658978	176658978	176658978	5120
83	192640304	192640304	192640304	192640304	192640304	192640304	192640304	5120
84	210059949	210059949	210059949	210059949	210059949	210059949	210059949	5120
85	229047362	229047362	229047362	229047362	229047362	229047362	229047362	5120
86	249743643	249743643	249743643	249743643	249743643	249743643	249743643	5120
87	272302589	272302589	272302589	272302589	272302589	272302589	272302589	5120
88	296891840	296891840	296891840	296891840	296891840	296891840	296891840	5120
89	323694123	323694123	323694123	323694123	323694123	323694123	323694123	5120
90	352908613	352908613	352908613	352908613	352908613	352908613	352908613	5120
91	384752406	384752406	384752406	384752406	384752406	384752406	384752406	5120
92	419462140	419462140	419462140	419462140	419462140	419462140	419462140	5120
93	457295751	457295751	457295751	457295751	457295751	457295751	457295751	5120
94	498534386	498534386	498534386	498534386	498534386	498534386	498534386	5120
95	543484499	543484499	543484499	543484499	543484499	543484499	543484499	5120
96	592480122	592480122	592480122	592480122	592480122	592480122	592480122	5120
97	645885351	645885351	645885351	645885351	645885351	645885351	645885351	5120
98	704097050	704097050	704097050	704097050	704097050	704097050	704097050	5120
99	767547803	767547803	767547803	767547803	767547803	767547803	767547803	5120
