Berserk,bar,0,152
Lightning Strike,ama,0,34
IronGolem,nec,0,90
Battle Cry,bar,0,146
Pierce,ama,0,33
Cold Mastery,sor,0,65
Fury,dru,0,248
FireGolem,nec,0,94
Conviction,pal,0,123
Summon Resist,nec,0,89
Bone Prison,nec,0,88
Venom,ass,0,278
Grim Ward,bar,0,150
Death Sentry,ass,0,276
Battle Orders,bar,0,149
Shock Wave,dru,0,243
Battle Command,bar,0,155
Conversion,pal,0,116
Phoenix Strike,ass,0,280
Energy Shield,sor,0,58
Immolation Arrow,ama,0,27
Whirlwind,bar,0,151
Attract,nec,0,86
Sanctuary,pal,0,119
Increased Speed,bar,0,148
Chilling Armor,sor,0,60
Redemption,pal,0,124
Holy Shield,pal,0,117
Natural Resistance,bar,0,153
Dragon Flight,ass,0,275
Valkyrie,ama,0,32
Blade Shield,ass,0,277
Revive,nec,0,95
Wake of Inferno,ass,0,272
Frozen Orb,sor,0,64
Solar Creeper,dru,0,241
quest_0_40=1
areakills_2=19
difficulty=0
pendingGold=0
pendingStatPts=0
pendingSkillPts=0
pendingTraps=0
resetPoints=0
game_mode=0
goal=4
starting_skills=6
skill_pool_size=210
quest_story=1
quest_hunting=1
quest_kill_zones=1
quest_exploration=1
quest_waypoints=1
quest_level_milestones=1
filler_gold_pct=30
filler_stat_pts_pct=15
filler_skill_pts_pct=15
filler_trap_pct=15
filler_reset_pts_pct=25
