Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
37	13815086	13815086	13815086	13815086	13815086	13815086	13815086	1024
38	15468534	15468534	15468534	15468534	15468534	15468534	15468534	1024
39	17270791	17270791	17270791	17270791	17270791	17270791	17270791	1024
40	19235252	19235252	19235252	19235252	19235252	19235252	19235252	1024
41	21376515	21376515	21376515	21376515	21376515	21376515	21376515	1024
42	23710491	23710491	23710491	23710491	23710491	23710491	23710491	1024
43	26254525	26254525	26254525	26254525	26254525	26254525	26254525	1024
44	29027522	29027522	29027522	29027522	29027522	29027522	29027522	1024
45	32050088	32050088	32050088	32050088	32050088	32050088	32050088	1024
46	35344686	35344686	35344686	35344686	35344686	35344686	35344686	1024
47	38935798	38935798	38935798	38935798	38935798	38935798	38935798	1024
48	42850109	42850109	42850109	42850109	42850109	42850109	42850109	1024
49	47116709	47116709	47116709	47116709	47116709	47116709	47116709	1024
50	51767302	51767302	51767302	51767302	51767302	51767302	51767302	1024
51	56836449	56836449	56836449	56836449	56836449	56836449	56836449	1024
52	61836449	61836449	61836449	61836449	61836449	61836449	61836449	1024
53	66836449	66836449	66836449	66836449	66836449	66836449	66836449	1024
54	71836449	71836449	71836449	71836449	71836449	71836449	71836449	1024
55	76836449	76836449	76836449	76836449	76836449	76836449	76836449	1024
56	81836449	81836449	81836449	81836449	81836449	81836449	81836449	1024
57	86836449	86836449	86836449	86836449	86836449	86836449	86836449	1024
58	91836449	91836449	91836449	91836449	91836449	91836449	91836449	1024
59	96836449	96836449	96836449	96836449	96836449	96836449	96836449	1024
60	101836449	101836449	101836449	101836449	101836449	101836449	101836449	1024
61	106836449	106836449	106836449	106836449	106836449	106836449	106836449	1024
62	111836449	111836449	111836449	111836449	111836449	111836449	111836449	1024
63	116836449	116836449	116836449	116836449	116836449	116836449	116836449	1024
64	121836449	121836449	121836449	121836449	121836449	121836449	121836449	1024
65	126836449	126836449	126836449	126836449	126836449	126836449	126836449	1024
66	131836449	131836449	131836449	131836449	131836449	131836449	131836449	1024
67	136836449	136836449	136836449	136836449	136836449	136836449	136836449	1024
68	141836449	141836449	141836449	141836449	141836449	141836449	141836449	1024
69	146836449	146836449	146836449	146836449	146836449	146836449	146836449	1024
70	151836449	151836449	151836449	151836449	151836449	151836449	151836449	1024
71	156836449	156836449	156836449	156836449	156836449	156836449	156836449	1024
72	161836449	161836449	161836449	161836449	161836449	161836449	161836449	1024
73	166836449	166836449	166836449	166836449	166836449	166836449	166836449	1024
74	171836449	171836449	171836449	171836449	171836449	171836449	171836449	1024
75	176836449	176836449	176836449	176836449	176836449	176836449	176836449	1024
76	181836449	181836449	181836449	181836449	181836449	181836449	181836449	1024
77	186836449	186836449	186836449	186836449	186836449	186836449	186836449	1024
78	191836449	191836449	191836449	191836449	191836449	191836449	191836449	1024
79	196836449	196836449	196836449	196836449	196836449	196836449	196836449	1024
80	201836449	201836449	201836449	201836449	201836449	201836449	201836449	1024
81	206836449	206836449	206836449	206836449	206836449	206836449	206836449	1024
82	211836449	211836449	211836449	211836449	211836449	211836449	211836449	1024
83	216836449	216836449	216836449	216836449	216836449	216836449	216836449	1024
84	221836449	221836449	221836449	221836449	221836449	221836449	221836449	1024
85	226836449	226836449	226836449	226836449	226836449	226836449	226836449	1024
86	231836449	231836449	231836449	231836449	231836449	231836449	231836449	1024
87	236836449	236836449	236836449	236836449	236836449	236836449	236836449	1024
88	241836449	241836449	241836449	241836449	241836449	241836449	241836449	1024
89	242836449	242836449	242836449	242836449	242836449	242836449	242836449	1024
90	242936449	242936449	242936449	242936449	242936449	242936449	242936449	1024
91	243036449	243036449	243036449	243036449	243036449	243036449	243036449	1024
92	243136449	243136449	243136449	243136449	243136449	243136449	243136449	1024
93	243236449	243236449	243236449	243236449	243236449	243236449	243236449	1024
94	243336449	243336449	243336449	243336449	243336449	243336449	243336449	1024
95	243436449	243436449	243436449	243436449	243436449	243436449	243436449	1024
96	243536449	243536449	243536449	243536449	243536449	243536449	243536449	1024
97	243636449	243636449	243636449	243636449	243636449	243636449	243636449	1024
98	243736449	243736449	243736449	243736449	243736449	243736449	243736449	1024
99	243836449	243836449	243836449	243836449	243836449	243836449	243836449	1024
