name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Great Poleaxe	pole		7h7	pax	7h7	100		1	1				1	46	127			17	4		100		179	99	110		84	58	7184	185504			hal	hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Grim Scythe	pole		9wc	scy	9wc	0		1	1				1	30	70				4	-10	100		140	140	110		55	36	3488	60552			scy	wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Halberd	pole		hal	pax	hal	0		1	1				1	12	45				4		100		75	47	110		29	17	902	9547			hal	hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1	2	2			1					1					1					1					1					1	2	2			1					1	2	2			1					1					1			2	2	0	xxx	xxx	1	0
Lochaber Axe	pole		9b7	hal	9b7	0		1	1				1	6	58				2	10	100		80		100		33	20	402	5880			hal	bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Ogre Axe	pole		7o7	hal	7o7	100		1	1				1	28	145			17	2		100		195	75	100		60	40	3290	62476			hal	bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Partizan	pole		9pa	hal	9pa	0		1	1				1	34	75				3	10	100		113	67	130		35	21	1802	20911			pax	pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Poleaxe	pole		pax	hal	pax	0		1	1				1	18	39				3	10	100		62		130		21	11	568	4872			hal	pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1	2	2			1					1					1					1					1					1	1	2			1					1					1					1					1			2	2	0	xxx	xxx	1	0
Scythe	pole		scy	scy	scy	0		1	1				1	8	20				1	-10	100		41	41	130		15	6	282	2272			hal	scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	invscyu	invscyu	1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1		2			1					1		1			1	1	1			1					1		1			1					1	2	2			1	2	2			1					1					1					1					1					1			2	2	0	hal	wsc	1	0
Thresher	pole		7s8	scy	7s8	100		1	1				1	12	141			17	1	-10	100		152	118	130		71	48	3696	82511			scy	scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	invscyu	invscyu	1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Voulge	pole		vou	hal	vou	0		1	1				1	6	21				2		100		50		100		11	3	204	1472			hal	vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1		2			1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	hal	wsc	1	0
War Scythe	pole		wsc	scy	wsc	0		1	1				1	15	36				4	-10	100		80	80	110		34	21	1130	13469			hal	wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1	1	2			1					1	1	1			1					1					1			2	2	0	xxx	xxx	1	0
Brandistock	spea		brn	brn	brn	0		1	1				1	7	17			15	4	-20	100		40	50	56		16	7	388	2909			spr	brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1	2	2			1					1					1					1					1					1					1	1	2			1	1	2			1					1					1					1					1					1			5	8	0	xxx	pik	1	0
Fuscina	spea		9tr	tri	9tr	0		1	1				1	19	37				3		100		77	25	70		36	22	784	10506			tri	tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	8	0	2 square reach	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Ghost Spear	spea		7st	tri	7st	100		1	1				1	18	155			17	4		100		122	163	56		83	57	5750	147558			tri	spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Hyperion Spear	spea		7sr	spr	7sr	100		1	1				1	35	119			17	3	-10	100		155	120	60		58	39	5300	95370			spr	spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Mancatcher	spea		7br	brn	7br	100		1	1				1	42	92			17	4	-20	100		132	134	56		74	51	4886	112419			brn	brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Spear	spea		spr	spr	spr	0		1	1				1	3	15			15	3	-10	100			20	60		5	0	100	650			spr	spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	2	2			1	2	2			1					1					1					1					1					1					1					1	1	2			1					1					1					1					1					1					1					1			5	8	0	spt	pik	1	0
Spetum	spea		spt	tri	spt	0		1	1				1	15	23			15	4		100		54	35	56		20	10	558	4594			spr	spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1	2	2			1					1					1					1					1					1					1	2	2			1	2	2			1	1	3			1					1					1					1					1			5	8	0	xxx	xxx	1	0
Stygian Pike	spea		7tr	tri	7tr	100		1	1				1	29	144			17	3		100		168	97	70		66	45	5782	118040			tri	tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Trident	spea		tri	tri	tri	0		1	1				1	9	15			15	3		100		38	24	70		9	2	228	1315			spr	tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1	2	2			1					1	1	1			1					1					1					1					1					1	2	2			1					1					1					1					1					1					1					1			5	8	0	spt	pik	1	0
War Fork	spea		9br	brn	9br	0		1	1				1	16	40				4	-20	100		80	95	56		41	26	1262	17823			brn	brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn	inv9bru	inv9bru	1	8	0	2 square reach	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
War Spear	spea		9sr	spr	9sr	0		1	1				1	10	37				3	-10	100		25	25	60		33	20	400	5860			spr	spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Yari	spea		9st	tri	9st	0		1	1				1	29	59				4		100		101		56		44	28	1772	25840			tri	spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	8	0	2 square reach	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Ceremonial Pike	aspe		am9	pik	am9	100		1	1				1	42	101			15	4	20	80	50	115	98	50		51	33	2124	35282		302	spr	am4	am9	ame	2ht	2ht	5	2ht	2	4					flppik	invam4			1	8	0	3 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Maiden Pike	aspe		am4	pik	am4	100		1	1				1	23	55			15	4	10	80	50	63	52	50		27	15	674	7062		302	spr	am4	am9	ame	2ht	2ht	5	2ht	2	4					flppik	invam4			1	8	0	3 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1	1	2			1					1					1	1	1			1			5	8	0	xxx	xxx	1	0
Matriarchal Pike	aspe		ame	pik	ame	100		1	1				1	37	153			15	4	20	80	50	132	149	50		81	56	6470	161497		302	spr	am4	am9	ame	2ht	2ht	5	2ht	2	4					flppik	invam4			1	8	0	3 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Lance	spea		9p9	pik	9p9	0		1	1				1	27	114				4	20	100		110	88	50		47	30	2124	32534			pik	pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	8	0	3 square reach	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Pike	spea		pik	pik	pik	0		1	1				1	14	63			15	4	20	100		60	45	50		24	13	674	6305			spr	pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	8	0	3 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1	1	1			1					1					1					1					1					1					1		1			1		1			1	2	3			1					1	2	3			1					1					1			5	8	0	xxx	xxx	1	0
War Pike	spea		7p7	pik	7p7	100		1	1				1	33	178			17	4	20	100		165	106	50		85	59	5356	141095			pik	pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	8	0	3 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Chu-Ko-Nu	xbow		8rx	hxb	8rx	0		1	1				1	14	32					-70		100	80	95	40	1	54	36	2840	48942			hxb	rxb	8rx	6rx	xbw	xbw	5	xbow	2	3					flprxb	invrxb	invrxbu	invrxbu	1	6	0	fires 5 shots before reload	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Demon Crossbow	xbow		6rx	hxb	6rx	100		1	1				1	26	40			19		-70		100	141	98	40	1	84	58	8618	221598			hxb	rxb	8rx	6rx	xbw	xbw	5	xbow	2	3					flprxb	invrxb	invrxbu	invrxbu	1	6	0	fires 5 shots before reload	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Repeating Crossbow	xbow		rxb	hxb	rxb	0		1	1				1	6	12					-50		100	40	50	40	1	33	20	914	10939			lxb	rxb	8rx	6rx	xbw	xbw	5	xbow	2	3					flprxb	invrxb	invrxbu	invrxbu	1	6	0	fires 5 shots before reload	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					1					1					1					1					1					1					1					1					1					1					1					1					1	1	1			1	1	3			1					1					1			5	8	0	xxx	xxx	1	0
Caduceus	scep		7ws	whm	7ws	100		1	1	37	43							14	1	-10	100		97	70	140		85	59	7624	198895			whm	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	6	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Divine Scepter	scep		9ws	whm	9ws	0		1	1	16	38								1	-10	100		103		140		45	29	2424	35211			whm	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	6	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Grand Scepter	scep		gsc	mac	gsc	0		1	1	8	18								1	10	100		37		120		15	6	370	2664			mac	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1	2	6			1					1					1	4	6			1					1					1					1					1	2	3			1					1					1	3	5			1			2	2	0	xxx	wsp	1	0
Holy Water Sprinkler	scep		9qs	mac	9qs	0		1	1	14	36								1	10	100		76		120		40	25	1210	16758			mac	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Mighty Scepter	scep		7sc	mac	7sc	100		1	1	40	52							14			100		125	65	100		62	42	6734	128584			mac	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Rune Scepter	scep		9sc	mac	9sc	0		1	1	13	24										100		58		100		31	18	450	5985			mac	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Scepter	scep		scp	mac	scp	0		1	1	3	7										100		25		100		1	0	116	505			mac	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1	4	8			1					1					1	5	6			1					1					1		2			1					1					1					1					1					1					1					1					1			2	2	0	gsc	wsp	1	0
Seraph Rod	scep		7qs	mac	7qs	100		1	1	45	54							14	1	10	100		108	69	120		76	52	7834	182658			mac	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
War Scepter	scep		wsp	whm	wsp	0		1	1	10	17								1	-10	100		55		140		21	11	774	6178			mac	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	6	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1	2	4			1					1					1					1					1	2	2			1					1					1	2	2			1			2	2	0	xxx	xxx	1	0
Archon Staff	staf		6ws	lst	6ws	100		1	1				1	83	99			17	1	10	100		34		52		85	59	3334	89509	1		lst	wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst			1	8	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Battle Staff	staf		bst	sst	bst	0		1	1				1	10	20				1		100				80		17	8	408	3179	1		bst	bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1	2	6			1					1					1	3	5			1					1					1					1					1	3	4			1					1					1	3	5			1			5	8	0	xxx	xxx	1	0
Cedar Staff	staf		8cs	cst	8cs	0		1	1				1	11	32				1	10	100		25		70		38	24	866	12022	1		cst	cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Elder Staff	staf		6cs	cst	6cs	100		1	1				1	80	93			17	1		100		44	37	70		74	51	3016	70905	1		cst	cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Gnarled Staff	staf		cst	cst	cst	0		1	1				1	5	16				1	10	100				70		12	4	256	1769	1		bst	cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1	6	8			1					1					1	3	5			1					1					1					1					1					1					1					1					1			5	8	0	xxx	wst	1	0
Gothic Staff	staf		8bs	sst	8bs	0		1	1				1	14	34				1		100		25		80		42	27	1324	19020	1		sst	bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
