Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Angel's	0	1	1	30		1				0	128	sor	0	1	1											staf	amul											0	0	0
Arch-Angel's	0	1	1	40		1				0	128	sor	0	2	2									1	cgrn	staf												0	0	0
Arch-Angel's	0	1	1	90		1				0	128	sor	0	2	2									1	cgrn	amul												0	0	0
Slayer's	0	1	1	30		1				0	129	bar	0	1	1											mele	amul						rod	h2h				0	0	0
Berserker's	0	1	1	40		1				0	129	bar	0	2	2									1	cgrn	mele							rod	h2h				0	0	0
Berserker's	0	1	1	90		1				0	129	bar	0	2	2									1	cgrn	amul												0	0	0
																																						0	0	0
																																						0	0	0
Triumphant	0	1	1	3		1				0	132	mana-kill	0	1	1											mele	ring											0	0	0
Expansion										0																												0	0	0
Stout	100	1	1	1		1				1	101	ac		5	5											lcha												0	0	0
Stout	100	1	1	7		1				1	101	ac		9	9											lcha												0	0	0
Stout	100	1	1	12		1				1	101	ac		12	12											lcha												0	0	0
Burly	100	1	1	17		1				1	101	ac		15	15											lcha												0	0	0
Burly	100	1	1	22		1				1	101	ac		22	22											lcha												0	0	0
Burly	100	1	1	27		1				1	101	ac		30	30											lcha												0	0	0
Stalwart	100	1		32		1				1	101	ac		40	40											lcha												0	0	0
Stalwart	100	1		37		1				1	101	ac		50	50											lcha												0	0	0
Stalwart	100	1		42		1				1	101	ac		100	100											lcha												0	0	0
Stout	100	1	1	1		1				1	101	ac		3	3											mcha												0	0	0
Stout	100	1	1	14		1				1	101	ac		6	6											mcha												0	0	0
Stout	100	1	1	20		1				1	101	ac		12	12											mcha												0	0	0
Burly	100	1	1	26		1				1	101	ac		18	18											mcha												0	0	0
Burly	100	1	1	32		1				1	101	ac		30	30											mcha												0	0	0
Stalwart	100	1		38		1				1	101	ac		40	40											mcha												0	0	0
Stalwart	100	1		45		1				1	101	ac		60	60											mcha												0	0	0
Stout	100	1	1	1		1				1	101	ac		1	1											scha												0	0	0
Stout	100	1	1	21		1				1	101	ac		8	8											scha												0	0	0
Burly	100	1	1	36		1				1	101	ac		20	20											scha												0	0	0
Stalwart	100	1		48		1				1	101	ac		30	30											scha												0	0	0
Blanched	100	1	1	1		1				1	101	ac		8	8									1	whit	jewl												0	0	0
Eburin	100	1	1	16		1				1	101	ac		20	20									1	whit	jewl												0	0	0
Bone	100	1	1	32		1				1	101	ac		40	40									1	whit	jewl												0	0	0
Ivory	100	1		64		1				1	101	ac		64	64									1	whit	jewl												0	0	0
Sturdy	1	1	1	1		1				4	101	ac%		20	20											armo												0	0	0
Sturdy	1	1	1	4		1				4	101	ac%		30	30											armo												0	0	0
Strong	1	1	1	9		1				4	101	ac%		40	40											armo												0	0	0
Glorious	1	1	1	19		1				4	101	ac%		50	50											armo												0	0	0
Blessed	1	1	1	25		1				4	101	ac%		65	65											armo												0	0	0
Saintly	1	1	1	31		1				4	101	ac%		80	80									1	dgld	armo												0	0	0
Holy	1	1	1	36		1				4	101	ac%		100	100									1	dgld	armo												0	0	0
Godly	100	1		45		1				4	101	ac%		200	200									1	dgld	armo												0	0	0
Devious	1	0	1	7		1				1	102	red-mag		1	1											shld	circ	orb	wand	staf								0	0	0
Blank	1	0	1	14		1				1	102	red-mag		2	2											shld	circ	orb	wand	staf								0	0	0
Null	100	0	1	21		1				1	102	red-mag		5	5									1	dblu	shld	circ											0	0	0
Antimagic	100	0		28		1				1	102	red-mag		10	10									1	dblu	shld	circ											0	0	0
Red	100	0	1	4		1				1	103	dmg-min		2	2									1	dred	lcha												0	0	0
Red	100	0	1	16		1				1	103	dmg-min		3	3									1	dred	lcha												0	0	0
Sanguinary	100	0	1	28		1				1	103	dmg-min		4	4									1	dred	lcha												0	0	0
Sanguinary	100	0	1	40		1				1	103	dmg-min		6	6									1	dred	lcha												0	0	0
Bloody	100	0		52		1				1	103	dmg-min		8	8									1	dred	lcha												0	0	0
Red	100	0	1	11		1				1	103	dmg-min		2	2									1	dred	mcha												0	0	0
Sanguinary	100	0	1	33		1				1	103	dmg-min		3	3									1	dred	mcha												0	0	0
Bloody	100	0		55		1				1	103	dmg-min		4	4									1	dred	mcha												0	0	0
Red	100	0	1	24		1				1	103	dmg-min		1	1									1	dred	scha												0	0	0
Sanguinary	100	0	1	41		1				1	103	dmg-min		2	2									1	dred	scha												0	0	0
Bloody	100	0		58		1				1	103	dmg-min		3	3									1	dred	scha												0	0	0
Scarlet	100	1	1	8		1				1	103	dmg-min		2	2									1	dred	jewl												0	0	0
Crimson	100	1	1	38		1				1	103	dmg-min		8	8									1	dred	jewl												0	0	0
Jagged	100	0	1	3		1				1	104	dmg-max		2	2									1	blac	lcha												0	0	0
Jagged	100	0	1	10		1				1	104	dmg-max		4	4									1	blac	lcha												0	0	0
Jagged	100	0	1	17		1				1	104	dmg-max		6	6									1	blac	lcha												0	0	0
Forked	100	0	1	25		1				1	104	dmg-max		8	8									1	blac	lcha												0	0	0
Forked	100	0	1	32		1				1	104	dmg-max		10	10									1	blac	lcha												0	0	0
Serrated	100	0		39		1				1	104	dmg-max		12	12									1	blac	lcha												0	0	0
Serrated	100	0		47		1				1	104	dmg-max		14	14									1	blac	lcha												0	0	0
Jagged	100	0	1	10		1				1	104	dmg-max		1	1									1	blac	mcha												0	0	0
Jagged	100	0	1	20		1				1	104	dmg-max		2	2									1	blac	mcha												0	0	0
Forked	100	0	1	30		1				1	104	dmg-max		3	3									1	blac	mcha												0	0	0
Forked	100	0	1	40		1				1	104	dmg-max		5	5									1	blac	mcha												0	0	0
Serrated	100	0		50		1				1	104	dmg-max		7	7									1	blac	mcha												0	0	0
Jagged	100	0	1	23		1				1	104	dmg-max		1	1									1	blac	scha												0	0	0
Forked	100	0	1	38		1				1	104	dmg-max		2	2									1	blac	scha												0	0	0
Serrated	100	0		53		1				1	104	dmg-max		3	3									1	blac	scha												0	0	0
Carbuncle	100	1	1	12		1				1	104	dmg-max		4	4									1	dred	jewl												0	0	0
Carmine	100	1	1	35		1				1	104	dmg-max		9	9									1	dred	jewl												0	0	0
Vermillion	100	1		58		1				1	104	dmg-max		15	15									1	dred	jewl												0	0	0
Jagged	1	1	1	1		1				4	105	dmg%		20	20											weap	circ						staf	wand	orb			0	0	0
Deadly	1	1	1	5		1				4	105	dmg%		30	30											weap	circ						staf	wand	orb			0	0	0
Vicious	1	1	1	8		1				4	105	dmg%		40	40											weap							staf	wand	orb			0	0	0
Brutal	1	1	1	14		1				4	105	dmg%		50	50											weap							staf	wand	orb			0	0	0
Massive	1	1	1	20		1				4	105	dmg%		65	65									1	dgld	weap							staf	wand	orb			0	0	0
Savage	1	1	1	26		1				4	105	dmg%		80	80									1	dgld	weap							staf	wand	orb			0	0	0
Merciless	1	1	1	32		1				4	105	dmg%		100	100									1	dgld	weap							staf	wand	orb			0	0	0
Ferocious	100	1	1	41		1				4	105	dmg%		200	200									1	blac	weap							staf	wand	orb			0	0	0
Cruel	100	1		51		1				4	105	dmg%		300	300									1	blac	weap							staf	wand	orb			0	0	0
Cinnabar	100	1	1	1		1				4	105	dmg%		10	10									1	dred	jewl												0	0	0
Rusty	100	1	1	13		1				4	105	dmg%		20	20									1	dred	jewl												0	0	0
Realgar	100	1	1	45		1				4	105	dmg%		30	30									1	dred	jewl												0	0	0
Ruby	100	1		66		1				4	105	dmg%		40	40									1	dred	jewl												0	0	0
Vulpine	1	1	1	9		1				1	107	dmg-to-mana		12	12									1	cblu	shld	amul	orb	staf									0	0	0
Dun	100	1	1	7		1				1	107	dmg-to-mana		12	12											jewl												0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
Bronze	100	1	1	1		1				1	110	att		12	12											lcha												0	0	0
Bronze	100	1	1	7		1				1	110	att		27	27											lcha												0	0	0
Bronze	100	1	1	13		1				1	110	att		42	42											lcha												0	0	0
Iron	100	1	1	19		1				1	110	att		57	57											lcha												0	0	0
Iron	100	1	1	25		1				1	110	att		72	72											lcha												0	0	0
Iron	100	1	1	31		1				1	110	att		87	87											lcha												0	0	0
Steel	100	1		37		1				1	110	att		102	102											lcha												0	0	0
Steel	100	1		43		1				1	110	att		117	117											lcha												0	0	0
Steel	100	1		49		1				1	110	att		132	132											lcha												0	0	0
Bronze	100	1	1	1		1				1	110	att		8	8											mcha												0	0	0
Bronze	100	1	1	7		1				1	110	att		12	12											mcha												0	0	0
Bronze	100	1	1	16		1				1	110	att		25	25											mcha												0	0	0
Iron	100	1	1	25		1				1	110	att		38	38											mcha												0	0	0
Iron	100	1	1	34		1				1	110	att		51	51											mcha												0	0	0
Steel	100	1		43		1				1	110	att		64	64											mcha												0	0	0
Steel	100	1		52		1				1	110	att		77	77											mcha												0	0	0
Bronze	100	1	1	1		1				1	110	att		4	4											scha												0	0	0
Bronze	100	1	1	21		1				1	110	att		12	12											scha												0	0	0
Iron	100	1	1	39		1				1	110	att		24	24											scha												0	0	0
Steel	100	1		57		1				1	110	att		36	36											scha												0	0	0
Bronze	1	1	1	1		1				1	110	att		20	20											weap	ring	glov	amul	circ			staf	wand	orb			0	0	0
Iron	1	1	1	4		1				1	110	att		40	40											weap	ring	circ					staf	wand	orb			0	0	0
Steel	1	1	1	8		1				1	110	att		60	60											weap	ring	circ					staf	wand	orb			0	0	0
Silver	1	1	1	12		1				1	110	att		80	80											weap	ring	circ					staf	wand	orb			0	0	0
Gold	1	1	1	17		1				1	110	att		100	100									1	lgld	weap	ring	circ					staf	wand	orb			0	0	0
Platinum	1	1	1	22		1				1	110	att		120	120									1	lgld	weap	ring	circ					staf	wand	orb			0	0	0
Meteoric	1	1	1	27		1				1	110	att		150	150									1	lgld	weap							staf	wand	orb			0	0	0
Strange	100	1	1	32		1				1	110	att		300	300									1	lgld	weap							staf	wand	orb			0	0	0
Weird	100	1		37		1				1	110	att		450	450									1	lgld	weap							staf	wand	orb			0	0	0
Nickel	100	1	1	1		1				1	110	att		20	20											jewl												0	0	0
Tin	100	1	1	8		1				1	110	att		40	40											jewl												0	0	0
Silver	100	1	1	25		1				1	110	att		60	60											jewl												0	0	0
Argent	100	1		44		1				1	110	att		100	100											jewl												0	0	0
Fine	100	1	1	15		1				1	111	att		20	20	dmg-max		3	3							lcha												0	0	0
Fine	100	1	1	22		1				1	111	att		48	48	dmg-max		6	6							lcha												0	0	0
Sharp	100	1	1	29		1				1	111	att		76	76	dmg-max		10	10							lcha												0	0	0
Fine	100	1	1	19		1				1	111	att		20	20	dmg-max		3	3							mcha												0	0	0
Sharp	100	1	1	28		1				1	111	att		48	48	dmg-max		6	6							mcha												0	0	0
Fine	100	1		28		1				1	111	att		20	20	dmg-max		3	3							scha												0	0	0
Sharp	1	1	1	5		1				1	111	att		20	20	dmg%		20	20							weap							staf	wand	orb			0	0	0
Fine	1	1	1	12		1				1	111	att		40	40	dmg%		30	30							weap							staf	wand	orb			0	0	0
Warrior's	1	1	1	19		1				1	111	att		60	60	dmg%		40	40							weap							staf	wand	orb			0	0	0
Soldier's	1	1	1	27		1				1	111	att		80	80	dmg%		50	50							weap							staf	wand	orb			0	0	0
Knight's	1	1	1	38		1				1	111	att		100	100	dmg%		65	65					1	dgld	weap							staf	wand	orb			0	0	0
Lord's	1	1	1	47		1				1	111	att		120	120	dmg%		80	80					1	dgld	weap							staf	wand	orb			0	0	0
King's	1	1	1	56		1				1	111	att		150	150	dmg%		100	100					1	dgld	weap							staf	wand	orb			0	0	0
Master's	100	1	1	56		1				1	111	att		250	250	dmg%		150	150					1	dgld	weap							staf	wand	orb			0	0	0
Grandmaster's	100	1		69		1				1	111	att		300	300	dmg%		200	200					1	dgld	weap							staf	wand	orb			0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
Screaming	100	1	1	10		1				1	113	howl		32	32									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Howling	1	1	1	16		1				1	113	howl		64	64									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Wailing	100	1	1	20		1				1	113	howl		128	128									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Screaming	100	1	1	10		1				1	113	howl		16	16									1	oran	miss												0	0	0
Howling	100	1	1	16		1				1	113	howl		24	24									1	oran	miss												0	0	0
Wailing	100	1		24		1				1	113	howl		32	32									1	oran	miss												0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
Lizard's	100	1	1	1		1				1	115	mana		7	7											lcha												0	0	0
Lizard's	100	1	1	7		1				1	115	mana		13	13											lcha												0	0	0
Lizard's	100	1	1	13		1				1	115	mana		20	20											lcha												0	0	0
Snake's	100	1	1	19		1				1	115	mana		26	26											lcha												0	0	0
Snake's	100	1	1	25		1				1	115	mana		33	33											lcha												0	0	0
Snake's	100	1	1	31		1				1	115	mana		39	39											lcha												0	0	0
Serpent's	100	1	1	37		1				1	115	mana		46	46											lcha												0	0	0
Serpent's	100	1	1	43		1				1	115	mana		52	52											lcha												0	0	0
Serpent's	100	1	1	49		1				1	115	mana		59	59											lcha												0	0	0
Lizard's	100	1	1	1		1				1	115	mana		4	4											mcha												0	0	0
Lizard's	100	1	1	9		1				1	115	mana		7	7											mcha												0	0	0
Lizard's	100	1	1	17		1				1	115	mana		12	12											mcha												0	0	0
Snake's	100	1	1	25		1				1	115	mana		18	18											mcha												0	0	0
Snake's	100	1	1	33		1				1	115	mana		23	23											mcha												0	0	0
Serpent's	100	1	1	41		1				1	115	mana		29	29											mcha												0	0	0
Serpent's	100	1	1	49		1				1	115	mana		34	34											mcha												0	0	0
Lizard's	100	1	1	16		1				1	115	mana		2	2											scha												0	0	0
Lizard's	100	1	1	16		1				1	115	mana		7	7											scha												0	0	0
Snake's	100	1	1	32		1				1	115	mana		12	12											scha												0	0	0
Serpent's	100	1		48		1				1	115	mana		17	17											scha												0	0	0
Lizard's	1	1	1	3		1				1	115	mana		5	5											armo	ring	amul	rod	orb			boot	glov				0	0	0
Snake's	1	1	1	6		1				1	115	mana		10	10											shld	rod	belt	ring	amul	circ							0	0	0
Serpent's	1	1	1	14		1				1	115	mana		20	20											shld	rod	belt	ring	amul	circ							0	0	0
Serpent's	1	1	1	37		1				1	115	mana		20	20											tors	boot	glov	weap	orb			rod					0	0	0
Drake's	1	1	1	20		1				1	115	mana		30	30									1	cblu	rod	ring	amul	orb	circ								0	0	0
Dragon's	1	1	1	24		1				1	115	mana		40	40									1	cblu	rod	ring	amul	orb	circ								0	0	0
Dragon's	1	1	1	52		1				1	115	mana		40	40									1	cblu	tors	boot	glov										0	0	0
Wyrm's	1	1	1	30		1				1	115	mana		60	60									1	cblu	rod	ring	amul	orb	circ								0	0	0
Great Wyrm's	100	1	1	37		1				1	115	mana		90	90									1	cblu	rod	ring	amul	orb	circ								0	0	0
Bahamut's	100	1		45		1				1	115	mana		120	120									1	cblu	rod	ring	amul	orb	circ								0	0	0
Zircon	100	1	1	3		1				1	115	mana		10	10									1	cblu	jewl												0	0	0
Jacinth	100	1	1	17		1				1	115	mana		15	15									1	cblu	jewl												0	0	0
Turquoise	100	1		29		1				1	115	mana		20	20									1	cblu	jewl												0	0	0
Shimmering	100	1		8	13	1				1	116	res-all		6	6									1	lpur	lcha												0	0	0
Shimmering	100	1		14	34	1				1	116	res-all		12	12									1	lpur	lcha												0	0	0
Shimmering	100	1		35		1				1	116	res-all		15	15									1	lpur	lcha												0	0	0
Shimmering	100	1		17	33	1				1	116	res-all		5	5									1	lpur	mcha												0	0	0
Shimmering	100	1		34		1				1	116	res-all		8	8									1	lpur	mcha												0	0	0
Shimmering	100	1		33		1				1	116	res-all		5	5									1	lpur	scha												0	0	0
Shimmering	100	1	1	6		1				1	116	res-all		7	7									1	lpur	shld												0	0	0
Rainbow	100	1	1	18		1				1	116	res-all		11	11									1	lpur	shld												0	0	0
Scintillating	100	1	1	28		1				1	116	res-all		15	15									1	lpur	shld												0	0	0
Prismatic	1	1	1	39		1				1	116	res-all		20	20									1	lpur	shld												0	0	0
Chromatic	100	1		50		1				1	116	res-all		30	30									1	lpur	shld												0	0	0
Shimmering	100	1	1	8		1				1	116	res-all		7	7									1	lpur	amul	circ											0	0	0
Rainbow	100	1	1	21		1				1	116	res-all		11	11									1	lpur	amul	circ											0	0	0
Scintillating	100	1	1	34		1				1	116	res-all		15	15									1	lpur	amul	circ											0	0	0
Prismatic	1	1	1	42		1				1	116	res-all		20	20									1	lpur	amul	circ											0	0	0
Chromatic	100	1		55		1				1	116	res-all		30	30									1	lpur	amul	circ											0	0	0
Shimmering	100	1	1	45		1				1	116	res-all		7	7									1	lpur	ring												0	0	0
Rainbow	100	1	1	56		1				1	116	res-all		11	11									1	lpur	ring												0	0	0
Scintillating	100	1		67		1				1	116	res-all		15	15									1	lpur	ring												0	0	0
Shimmering	100	1	1	34		1				1	116	res-all		10	10									1	lpur	jewl												0	0	0
Scintillating	100	1		34		1				1	116	res-all		15	15									1	lpur	jewl												0	0	0
Azure	100	1	1	1		1				1	117	res-cold		15	15											lcha												0	0	0
Lapis	100	1	1	10		1				1	117	res-cold		20	20											lcha												0	0	0
Cobalt	100	1	1	20		1				1	117	res-cold		25	25									1	lblu	lcha												0	0	0
Sapphire	100	1		30		1				1	117	res-cold		30	30									1	lblu	lcha												0	0	0
Azure	100	1	1	1		1				1	117	res-cold		7	7											mcha												0	0	0
Lapis	100	1	1	16		1				1	117	res-cold		10	10											mcha												0	0	0
Cobalt	100	1	1	25		1				1	117	res-cold		12	12									1	lblu	mcha												0	0	0
Sapphire	100	1		35		1				1	117	res-cold		15	15									1	lblu	mcha												0	0	0
Azure	100	1	1	1		1				1	117	res-cold		5	5											scha												0	0	0
Lapis	100	1	1	14		1				1	117	res-cold		7	7											scha												0	0	0
Cobalt	100	1	1	27		1				1	117	res-cold		9	9									1	lblu	scha												0	0	0
Sapphire	100	1		40		1				1	117	res-cold		11	11									1	lblu	scha												0	0	0
Azure	1	1	1	5		1				1	117	res-cold		10	10											armo	weap	ring	amul	orb	circ							0	0	0
Lapis	1	1	1	12		1				1	117	res-cold		20	20											armo	ring	amul	orb	circ								0	0	0
Lapis	1	1	1	35		1				1	117	res-cold		20	20											weap							orb					0	0	0
Cobalt	1	1	1	18		1				1	117	res-cold		30	30											armo	ring	amul	orb	circ								0	0	0
Cobalt	1	1	1	55		1				1	117	res-cold		30	30											weap							orb					0	0	0
Sapphire	1	1	1	25		1				1	117	res-cold		40	40									1	lblu	rod	boot	amul	orb	circ								0	0	0
Lapis Lazuli	100	1	1	2		1				1	117	res-cold		15	15									1	lblu	jewl												0	0	0
Sapphire	100	1	1	34		1				1	117	res-cold		30	30									1	lblu	jewl												0	0	0
Crimson	100	1	1	1		1				1	118	res-fire		15	15											lcha												0	0	0
Russet	100	1	1	10		1				1	118	res-fire		20	20											lcha												0	0	0
Garnet	100	1	1	20		1				1	118	res-fire		25	25									1	lred	lcha												0	0	0
Ruby	100	1		30		1				1	118	res-fire		30	30									1	lred	lcha												0	0	0
Crimson	100	1	1	1		1				1	118	res-fire		7	7											mcha												0	0	0
Russet	100	1	1	16		1				1	118	res-fire		10	10											mcha												0	0	0
Garnet	100	1	1	25		1				1	118	res-fire		12	12									1	lred	mcha												0	0	0
Ruby	100	1		35		1				1	118	res-fire		15	15									1	lred	mcha												0	0	0
Crimson	100	1	1	1		1				1	118	res-fire		5	5											scha												0	0	0
