Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
bighead1	10	bighead1	bighead2	0	Afflicted	bighead1		bighead	Bighead		BH	1	1												3	5		11	11	1	12	43	73	bighead	bighead	10	11	11	10				88	75	75	0	0	0	0	20	30	60	70	80														bighead1								1	1							1		1			1	1																																	70	60	53	-35	-28	-23	25	0	0	100	0	0	25	0	0	100	0	0	25	0	0	100	0	0	2				10	10	10	10	170	290	130	160	140	190	150	0	0	0	0	0	0	160	270	180	250	90	160	220	0	0	0	0	0	0	160	270	180	250	90	160	220	0	0	0	0	0	0	A2	ltng	100	140	180	0	100	210	260	0	100	230	290	0	A1	ltng		0	0		15	40	50		35	40	50																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead2	11	bighead1	bighead3	1	Tainted	bighead2		bighead	Bighead		BH	1	1												3	6		11	11	1	11	42	72	bighead	bighead	10	11	11	10				86	100	100	0	0	0	0	30	40	60	70	80														bighead2								1	1							1		1			1	1																																	70	60	53	-35	-28	-23	25	0	0	105	0	0	25	0	0	105	0	0	25	0	0	105	0	0	2				10	10	10	10	170	300	130	160	120	170	150	0	0	0	0	0	0	160	270	180	250	90	160	220	0	0	0	0	0	0	160	270	180	250	90	160	220	0	0	0	0	0	0	A2	ltng	100	140	180	0	100	210	260	0	100	230	290	0	A1	ltng		0	0		15	40	50		35	40	50																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead3	12	bighead1	bighead4	2	Misshapen	bighead3		bighead	Bighead		BH	1	1												2	4		10	10	1	5	37	69	bighead	bighead	10	11	11	10				80	50	50	0	0	0	0	40	50	60	70	80														bighead3								1	1							1		1			1	1																																	70	60	53	-35	-28	-23	25	0	0	110	0	0	25	0	0	110	0	0	25	0	0	110	0	0	2				5	5	5	10	160	290	130	160	140	170	150	0	0	0	0	0	0	160	270	180	250	90	160	220	0	0	0	0	0	0	160	270	180	250	90	160	220	0	0	0	0	0	0	A2	ltng	100	140	180	0	100	210	260	0	100	230	290	0	A1	ltng		0	0		15	40	50		35	40	50																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead4	13	bighead1	bighead5	3	Disfigured	bighead4		bighead	Bighead		BH	1	1												2	5		10	10	1	8	40	70	bighead	bighead	10	11	11	10				83	0	0	0	0	0	0	50	65	60	70	80														bighead4								1	1							1		1			1	1																																	70	60	53	-35	-28	-23	25	0	0	115	0	0	25	0	0	115	0	0	25	0	0	115	0	0	2				10	10	10	10	170	300	130	160	130	170	150	0	0	0	0	0	0	160	270	180	250	90	160	220	0	0	0	0	0	0	160	270	180	250	90	160	220	0	0	0	0	0	0	A2	ltng	100	140	180	0	100	210	260	0	100	230	290	0	A1	ltng		0	0		15	40	50		35	40	50																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead5	14	bighead1	bighead6	4	Damned	bighead5		bighead	Bighead		BH	1	1												4	6		13	13	1	27	57	84	bighead	bighead	10	11	11	10				90	33	33	0	0	0	0	60	80	60	70	80														bighead5								1	1							1		1			1	1																																	70	60	53	-35	-28	-23	25	0	0	120	0	0	25	0	0	120	0	0	25	0	0	120	0	0	2				20	20	20	10	170	290	130	180	130	180	150	0	0	0	0	0	0	160	270	180	250	90	160	220	0	0	0	0	0	0	160	270	180	250	90	160	220	0	0	0	0	0	0	A2	ltng	100	140	180	0	100	210	260	0	100	230	290	0	A1	ltng		0	0		15	40	50		35	40	50																Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
foulcrow1	15	foulcrow1	foulcrow3	0	FoulCrow	foulcrow1		foulcrow	BloodHawk		BK	1													3	5		12	12	1	1	36	67	foulcrow	foulcrow	10	11	11	10				30	45	65	90	90	90	5	10	10	50	60	70	100	100	100																			1	1								1				1	1																																	100	100	100	-80	-80	-80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2				0	0	0	0	150	250	170	0	250	350	150	250	350	150	0	0	0	200	300	170	0	300	400	250	300	400	250	0	0	0	250	350	170	0	350	450	350	350	450	350	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0			0	0																Quill 1	Act 1 Champ A	Act 1 Unique A		Quill 1 (N)	Act 1 (N) Champ A	Act 1 (N) Unique A		Quill 1 (H)	Act 1 (H) Champ A	Act 1 (H) Unique A								0
foulcrow2	16	foulcrow1	foulcrow3	1	FoulCrow	foulcrow1		foulcrow	BloodHawk		BK	1													17	23		15	15	1	1	36	67	foulcrow	foulcrow	10	11	11	10				30	45	65	90	90	90	5	10	10	50	60	70	100	100	100																			1	1								1				1	1																																	100	100	100	-80	-80	-80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2				0	0	0	0	100	100	170	100	100	100	300	100	100	300	0	0	0	100	100	170	100	100	100	300	100	100	300	0	0	0	100	100	170	100	100	100	300	100	100	300	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0			0	0																Fodder	Act 1 Champ A	Act 1 Unique A		Fodder	Act 1 (N) Champ A	Act 1 (N) Unique A		Fodder	Act 1 (H) Champ A	Act 1 (H) Unique A								0
foulcrow3	17	foulcrow1	foulcrow4	2	BlackRaptor	foulcrow3		foulcrow	BloodHawk		BK	1													4	8		10	10	1	16	45	76	foulcrow	foulcrow	10	11	11	10				30	55	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	70	70	70	-35	-28	-23	0	0	25	0	0	110	0	0	25	0	0	110	0	0	25	0	0	110	2				15	15	15	10	80	130	30	70	90	120	190	0	0	0	0	0	0	70	120	240	80	120	170	230	0	0	0	0	0	0	70	120	240	80	120	170	230	0	0	0	0	0	0	A1	pois	0	0	0	0	20	30	100	50	30	30	100	50				0	0			0	0			0	0																Act 2 Cast B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) Cast B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) Cast B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
foulcrow4	18	foulcrow1	foulcrow5	3	CloudStalker	foulcrow4		foulcrow	BloodHawk		BK	1													5	8		11	11	1	22	49	79	foulcrow	foulcrow	10	11	11	10				30	60	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	70	70	70	-35	-28	-23	0	0	50	100	0	0	0	0	50	100	0	0	0	0	50	100	0	0	2				20	20	20	10	80	130	30	70	90	130	190	0	0	0	0	0	0	70	120	240	80	120	170	230	0	0	0	0	0	0	70	120	240	80	120	170	230	0	0	0	0	0	0	A1	pois	0	0	0	0	20	30	100	50	30	30	100	50				0	0			0	0			0	0																Act 3 Cast A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Cast A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Cast A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
fallen1	19	fallen1	fallen2	0	Fallen	fallen1		fallen	Fallen		FA	1							fallen1		1	1	3	5	3	5		10	10	1	1	36	67	fallen	fallen	10	11	11	10				30	40	50	10	15	20	50	60	70	20	25	30																						1	1							1		1			1	1							1																										70	60	53	-35	-28	-23	15	0	100	0	40	0	15	0	100	0	40	0	15	0	100	0	40	0	2				10	10	10	10	80	160	170	0	110	170	200	110	170	200	0	0	0	80	140	140	130	80	140	180	90	160	170	0	0	0	80	140	140	130	80	140	180	90	160	170	0	0	0	A1	fire	0	0	0	0	10	50	60	0	20	50	60	0				0	0			0	0			0	0																Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
fallen2	20	fallen1	fallen3	1	Carver	fallen2		fallen	Fallen		FA	1							fallen2		1	1	3	6	3	6		10	10	1	5	38	68	fallen	fallen	10	11	11	10				45	50	55	15	18	24	60	70	80	25	30	35																						1	1							1		1			1	1							1																										70	60	53	-35	-28	-23	15	0	110	0	40	0	15	0	110	0	40	0	15	0	110	0	40	0	2				15	15	15	10	90	150	170	120	110	170	180	110	170	180	0	0	0	80	140	140	130	80	140	180	90	160	170	0	0	0	80	140	140	130	80	140	180	90	160	170	0	0	0	A1	cold	0	0	0	0	10	50	50	150	20	50	50	200				0	0			0	0			0	0																Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen3	21	fallen1	fallen4	2	Devilkin	fallen3		fallen	Fallen		FA	1							fallen3		1	1	4	6	4	6		11	11	1	7	39	85	fallen	fallen	10	11	11	10				55	60	60	20	22	30	70	80	90	30	35	40																						1	1							1		1			1	1							1																										70	60	53	-35	-28	-23	15	0	120	0	40	0	15	0	120	0	40	0	15	0	120	0	40	0	2				25	25	25	10	80	150	170	120	90	170	190	90	170	190	0	0	0	80	140	140	130	80	140	180	90	160	170	0	0	0	80	140	140	130	80	140	180	90	160	170	0	0	0	A1	ltng	0	0	0	0	10	0	90	0	20	0	130	0				0	0			0	0			0	0																Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen4	22	fallen1	fallen5	3	DarkOne	fallen4		fallen	Fallen		FA	1							fallen4		1	1	4	8	4	8		11	11	1	10	41	71	fallen	fallen	10	11	11	10				65	70	70	25	26	30	80	90	95	35	40	45																						1	1							1		1			1	1							1																										70	60	53	-35	-28	-23	15	0	125	0	40	0	15	0	125	0	40	0	15	0	125	0	40	0	2				35	35	35	10	90	150	170	120	100	170	180	100	170	180	0	0	0	80	140	140	130	80	140	180	90	160	170	0	0	0	80	140	140	130	80	140	180	90	160	170	0	0	0	A1	pois	0	0	0	0	10	30	50	30	20	30	50	40				0	0			0	0			0	0																Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
fallen5	23	fallen1	fallen6	4	WarpedFallen	fallen5		fallen	Fallen		FA	1							fallen5		1	1	1	1	1	1		14	14	1	40	55	83	fallen	fallen	10	11	11	10				75	80	80	30	30	30	90	95	99	40	45	50																						1	1							1		1			1	1							1																										70	60	53	-35	-28	-23	25	75	75	75	75	75	25	75	75	75	75	75	25	75	75	75	75	75	2				50	50	50	10	80	150	170	190	100	160	190	100	170	190	0	0	0	80	140	140	130	80	140	180	90	160	170	0	0	0	80	140	140	130	80	140	180	90	160	170	0	0	0	A1	cold	0	0	0	0	10	50	60	180	10	50	60	230				0	0			0	0			0	0																Act 5 H2H C	Act 5 Champ C	Act 5 Unique C		Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C		Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C								0
brute2	24	brute2	brute3	0	Yeti	brute2		brute	Brute		YE	1													2	4		8	8	1	5	38	69	brute	brute	10	11	11	10							0	0	0	75	75	80	100	100	90																						1	1									1			1	1							1																										70	70	70	-35	-28	-23	50	0	0	0	120	0	50	0	0	0	120	0	50	0	0	0	120	0	2				5	5	5	10	320	490	170	240	140	170	180	200	240	180	0	0	0	320	450	170	240	120	180	190	170	210	200	0	0	0	320	450	170	240	120	180	190	170	210	200	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0			0	0																Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
