Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Equip 50	2	50	1	1024	1024	1024	1024		armo48	38	weap48	57	Act 2 (N) Equip C	225																		0
Equip 52	2	52	1	1024	1024	1024	1024		armo48	38	weap48	57	Act 2 (N) Equip C	225																		0
Equip 54	2	54	1	1024	1024	1024	1024		armo51	40	weap51	60	Act 3 (N) Equip B	240																		0
Equip 56	2	56	1	1024	1024	1024	1024		armo51	40	weap51	60	Act 3 (N) Equip B	240																		0
Equip 58	2	58	1	1024	1024	1024	1024		armo54	42	weap54	63	Act 4 (N) Equip A	255																		0
Equip 60	2	60	1	1024	1024	1024	1024		armo54	42	weap54	63	Act 4 (N) Equip A	255																		0
Equip 62	2	62	1	1024	1024	1024	1024		armo57	44	weap57	66	Act 4 (N) Equip C	270																		0
Equip 64	2	64	1	1024	1024	1024	1024		armo57	44	weap57	66	Act 4 (N) Equip C	270																		0
Equip 66	2	66	1	1024	1024	1024	1024		armo60	46	weap60	69	Act 5 (N) Equip B	285																		0
Equip 68	2	68	1	1024	1024	1024	1024		armo60	46	weap60	69	Act 5 (N) Equip B	285																		0
Equip 70	2	70	1	1024	1024	1024	1024		armo63	48	weap63	72	Act 1 (H) Equip A	300																		0
Equip 71	2	71	1	1024	1024	1024	1024		armo63	48	weap63	72	Act 1 (H) Equip A	300																		0
Equip 73	2	73	1	1024	1024	1024	1024		armo66	50	weap66	75	Act 1 (H) Equip C	315																		0
Equip 75	2	75	1	1024	1024	1024	1024		armo66	50	weap66	75	Act 1 (H) Equip C	315																		0
Equip 76	2	76	1	1024	1024	1024	1024		armo69	52	weap69	78	Act 2 (H) Equip B	330																		0
Equip 77	2	77	1	1024	1024	1024	1024		armo69	52	weap69	78	Act 2 (H) Equip B	330																		0
Equip 78	2	78	1	1024	1024	1024	1024		armo72	54	weap72	81	Act 3 (H) Equip A	345																		0
Equip 79	2	79	1	1024	1024	1024	1024		armo72	54	weap72	81	Act 3 (H) Equip A	345																		0
Equip 80	2	80	1	1024	1024	1024	1024		armo75	56	weap75	84	Act 3 (H) Equip C	360																		0
Equip 81	2	81	1	1024	1024	1024	1024		armo75	56	weap75	84	Act 3 (H) Equip C	360																		0
Equip 82	2	82	1	1024	1024	1024	1024		armo78	58	weap78	87	Act 4 (H) Equip B	375																		0
Equip 83	2	83	1	1024	1024	1024	1024		armo81	60	weap81	90	Act 4 (H) Equip C	390																		0
Equip 84	2	84	1	1024	1024	1024	1024		armo84	62	weap84	93	Act 5 (H) Equip A	405																		0
Equip 85	2	85	1	1024	1024	1024	1024		armo87	64	weap87	96																				0
Act 1 Chest A	3	0	1						Act 1 Good	1																						0
Act 1 Chest B	3	5	1						Act 1 Good	1																						0
Act 1 Chest C	3	9	1						Act 1 Good	1																						0
Act 2 Chest A	3	12	1						Act 2 Good	1																						0
Act 2 Chest B	3	15	1						Act 2 Good	1																						0
Act 2 Chest C	3	18	1						Act 2 Good	1																						0
Act 3 Chest A	3	20	1						Act 3 Good	1																						0
Act 3 Chest B	3	22	1						Act 3 Good	1																						0
Act 3 Chest C	3	24	1						Act 3 Good	1																						0
Act 4 Chest A	3	26	1						Act 4 Good	1																						0
Act 4 Chest B	3	28	1						Act 4 Good	1																						0
Act 4 Chest C	3	30	1						Act 4 Good	1																						0
Act 5 Chest A	3	32	1						Act 5 Good	1																						0
Act 5 Chest B	3	34	1						Act 5 Good	1																						0
Act 5 Chest C	3	36	1						Act 5 Good	1																						0
Act 1 (N) Chest A	3	38	1						Act 1 (N) Good	1																						0
Act 1 (N) Chest B	3	40	1						Act 1 (N) Good	1																						0
Act 1 (N) Chest C	3	42	1						Act 1 (N) Good	1																						0
Act 2 (N) Chest A	3	44	1						Act 2 (N) Good	1																						0
Act 2 (N) Chest B	3	46	1						Act 2 (N) Good	1																						0
Act 2 (N) Chest C	3	48	1						Act 2 (N) Good	1																						0
Act 3 (N) Chest A	3	50	1						Act 3 (N) Good	1																						0
Act 3 (N) Chest B	3	52	1						Act 3 (N) Good	1																						0
Act 3 (N) Chest C	3	54	1						Act 3 (N) Good	1																						0
Act 4 (N) Chest A	3	56	1						Act 4 (N) Good	1																						0
Act 4 (N) Chest B	3	58	1						Act 4 (N) Good	1																						0
Act 4 (N) Chest C	3	60	1						Act 4 (N) Good	1																						0
Act 5 (N) Chest A	3	62	1						Act 5 (N) Good	1																						0
Act 5 (N) Chest B	3	64	1						Act 5 (N) Good	1																						0
Act 5 (N) Chest C	3	66	1						Act 5 (N) Good	1																						0
Act 1 (H) Chest A	3	68	1						Act 1 (H) Good	1																						0
Act 1 (H) Chest B	3	70	1						Act 1 (H) Good	1																						0
Act 1 (H) Chest C	3	71	1						Act 1 (H) Good	1																						0
Act 2 (H) Chest A	3	72	1						Act 2 (H) Good	1																						0
Act 2 (H) Chest B	3	74	1						Act 2 (H) Good	1																						0
Act 2 (H) Chest C	3	75	1						Act 2 (H) Good	1																						0
Act 3 (H) Chest A	3	76	1						Act 3 (H) Good	1																						0
Act 3 (H) Chest B	3	78	1						Act 3 (H) Good	1																						0
Act 3 (H) Chest C	3	79	1						Act 3 (H) Good	1																						0
Act 4 (H) Chest A	3	80	1						Act 4 (H) Good	1																						0
Act 4 (H) Chest B	3	81	1						Act 4 (H) Good	1																						0
Act 4 (H) Chest C	3	82	1						Act 4 (H) Good	1																						0
Act 5 (H) Chest A	3	83	1						Act 5 (H) Good	1																						0
Act 5 (H) Chest B	3	84	1						Act 5 (H) Good	1																						0
Act 5 (H) Chest C	3	85	1						Act 5 (H) Good	1																						0
Act 1 H2H A	4	0	1						Pimps	1																						0
Act 1 H2H B	4	5	1						Pimps	1																						0
Act 1 H2H C	4	9	1						Pimps	1																						0
Act 2 H2H A	4	12	1						Pimps	1																						0
Act 2 H2H B	4	15	1						Pimps	1																						0
Act 2 H2H C	4	18	1						Pimps	1																						0
Act 3 H2H A	4	20	1						Pimps	1																						0
Act 3 H2H B	4	22	1						Pimps	1																						0
Act 3 H2H C	4	24	1						Pimps	1																						0
Act 4 H2H A	4	26	1						Pimps	1																						0
Act 4 H2H B	4	29	1						Pimps	1																						0
Act 5 H2H A	4	32	1						Pimps	1																						0
Act 5 H2H B	4	34	1						Pimps	1																						0
Act 5 H2H C	4	36	1						Pimps	1																						0
Act 1 (N) H2H A	4	38	1						Pimps	1																						0
Act 1 (N) H2H B	4	40	1						Pimps	1																						0
Act 1 (N) H2H C	4	41	1						Pimps	1																						0
Act 2 (N) H2H A	4	42	1						Pimps	1																						0
Act 2 (N) H2H B	4	44	1						Pimps	1																						0
Act 2 (N) H2H C	4	45	1						Pimps	1																						0
Act 3 (N) H2H A	4	46	1						Pimps	1																						0
Act 3 (N) H2H B	4	48	1						Pimps	1																						0
Act 3 (N) H2H C	4	50	1						Pimps	1																						0
Act 4 (N) H2H A	4	51	1						Pimps	1																						0
Act 4 (N) H2H B	4	54	1						Pimps	1																						0
Act 5 (N) H2H A	4	57	1						Pimps	1																						0
Act 5 (N) H2H B	4	60	1						Pimps	1																						0
Act 5 (N) H2H C	4	62	1						Pimps	1																						0
Act 1 (H) H2H A	4	63	1						Pimps	1																						0
Act 1 (H) H2H B	4	66	1						Pimps	1																						0
Act 1 (H) H2H C	4	68	1						Pimps	1																						0
Act 2 (H) H2H A	4	69	1						Pimps	1																						0
Act 2 (H) H2H B	4	71	1						Pimps	1																						0
Act 2 (H) H2H C	4	73	1						Pimps	1																						0
Act 3 (H) H2H A	4	74	1						Pimps	1																						0
Act 3 (H) H2H B	4	76	1						Pimps	1																						0
Act 3 (H) H2H C	4	77	1						Pimps	1																						0
Act 4 (H) H2H A	4	79	1						Pimps	1																						0
Act 4 (H) H2H B	4	80	1						Pimps	1																						0
Act 5 (H) H2H A	4	82	1						Pimps	1																						0
Act 5 (H) H2H B	4	83	1						Pimps	1																						0
Act 5 (H) H2H C	4	85	1						Pimps	1																						0
Act 1 Cast A	5	0	1						Pimps	1																						0
Act 1 Cast B	5	5	1						Pimps	1																						0
Act 1 Cast C	5	9	1						Pimps	1																						0
Act 2 Cast A	5	12	1						Pimps	1																						0
Act 2 Cast B	5	15	1						Pimps	1																						0
Act 2 Cast C	5	18	1						Pimps	1																						0
Act 3 Cast A	5	20	1						Pimps	1																						0
Act 3 Cast B	5	22	1						Pimps	1																						0
Act 3 Cast C	5	24	1						Pimps	1																						0
Act 4 Cast A	5	26	1						Pimps	1																						0
Act 4 Cast B	5	29	1						Pimps	1																						0
Act 5 Cast A	5	32	1						Pimps	1																						0
Act 5 Cast B	5	34	1						Pimps	1																						0
Act 5 Cast C	5	36	1						Pimps	1																						0
Act 1 (N) Cast A	5	38	1						Pimps	1																						0
Act 1 (N) Cast B	5	40	1						Pimps	1																						0
Act 1 (N) Cast C	5	41	1						Pimps	1																						0
Act 2 (N) Cast A	5	42	1						Pimps	1																						0
Act 2 (N) Cast B	5	44	1						Pimps	1																						0
Act 2 (N) Cast C	5	45	1						Pimps	1																						0
Act 3 (N) Cast A	5	46	1						Pimps	1																						0
Act 3 (N) Cast B	5	48	1						Pimps	1																						0
Act 3 (N) Cast C	5	50	1						Pimps	1																						0
Act 4 (N) Cast A	5	51	1						Pimps	1																						0
Act 4 (N) Cast B	5	54	1						Pimps	1																						0
Act 5 (N) Cast A	5	57	1						Pimps	1																						0
Act 5 (N) Cast B	5	60	1						Pimps	1																						0
Act 5 (N) Cast C	5	62	1						Pimps	1																						0
Act 1 (H) Cast A	5	63	1						Pimps	1																						0
Act 1 (H) Cast B	5	66	1						Pimps	1																						0
Act 1 (H) Cast C	5	68	1						Pimps	1																						0
Act 2 (H) Cast A	5	69	1						Pimps	1																						0
Act 2 (H) Cast B	5	71	1						Pimps	1																						0
Act 2 (H) Cast C	5	72	1						Pimps	1																						0
Act 3 (H) Cast A	5	74	1						Pimps	1																						0
Act 3 (H) Cast B	5	75	1						Pimps	1																						0
Act 3 (H) Cast C	5	77	1						Pimps	1																						0
Act 4 (H) Cast A	5	78	1						Pimps	1																						0
Act 4 (H) Cast B	5	80	1						Pimps	1																						0
Act 5 (H) Cast A	5	81	1						Pimps	1																						0
Act 5 (H) Cast B	5	83	1						Pimps	1																						0
Act 5 (H) Cast C	5	85	1						Pimps	1																						0
Act 1 Miss A	6	0	1						Pimps	1																						0
Act 1 Miss B	6	5	1						Pimps	1																						0
Act 1 Miss C	6	9	1						Pimps	1																						0
Act 2 Miss A	6	12	1						Pimps	1																						0
Act 2 Miss B	6	15	1						Pimps	1																						0
Act 2 Miss C	6	18	1						Pimps	1																						0
Act 3 Miss A	6	20	1						Pimps	1																						0
Act 3 Miss B	6	22	1						Pimps	1																						0
Act 3 Miss C	6	24	1						Pimps	1																						0
Act 4 Miss A	6	26	1						Pimps	1																						0
Act 4 Miss B	6	29	1						Pimps	1																						0
Act 5 Miss A	6	32	1						Pimps	1																						0
Act 5 Miss B	6	34	1						Pimps	1																						0
Act 5 Miss C	6	36	1						Pimps	1																						0
Act 1 (N) Miss A	6	38	1						Pimps	1																						0
Act 1 (N) Miss B	6	40	1						Pimps	1																						0
Act 1 (N) Miss C	6	41	1						Pimps	1																						0
Act 2 (N) Miss A	6	42	1						Pimps	1																						0
Act 2 (N) Miss B	6	44	1						Pimps	1																						0
Act 2 (N) Miss C	6	45	1						Pimps	1																						0
Act 3 (N) Miss A	6	46	1						Pimps	1																						0
Act 3 (N) Miss B	6	48	1						Pimps	1																						0
Act 3 (N) Miss C	6	50	1						Pimps	1																						0
Act 4 (N) Miss A	6	51	1						Pimps	1																						0
Act 4 (N) Miss B	6	54	1						Pimps	1																						0
Act 5 (N) Miss A	6	57	1						Pimps	1																						0
Act 5 (N) Miss B	6	60	1						Pimps	1																						0
Act 5 (N) Miss C	6	62	1						Pimps	1																						0
Act 1 (H) Miss A	6	63	1						Pimps	1																						0
Act 1 (H) Miss B	6	66	1						Pimps	1																						0
Act 1 (H) Miss C	6	68	1						Pimps	1																						0
Act 2 (H) Miss A	6	69	1						Pimps	1																						0
Act 2 (H) Miss B	6	71	1						Pimps	1																						0
Act 2 (H) Miss C	6	72	1						Pimps	1																						0
Act 3 (H) Miss A	6	74	1						Pimps	1																						0
Act 3 (H) Miss B	6	75	1						Pimps	1																						0
Act 3 (H) Miss C	6	77	1						Pimps	1																						0
Act 4 (H) Miss A	6	78	1						Pimps	1																						0
Act 4 (H) Miss B	6	80	1						Pimps	1																						0
Act 5 (H) Miss A	6	81	1						Pimps	1																						0
Act 5 (H) Miss B	6	83	1						Pimps	1																						0
Act 5 (H) Miss C	6	85	1						Pimps	1																						0
Quill 1	7	0	1						Pimps	1																						0
Quill 2	7	4	1						Pimps	1																						0
Quill 3	7	8	1						Pimps	1																						0
Quill 4	7	12	1						Pimps	1																						0
Quill 5	7	20	1						Pimps	1																						0
Quill 1 (N)	7	32	1						Pimps	1																						0
Quill 2 (N)	7	35	1						Pimps	1																						0
Quill 3 (N)	7	38	1						Pimps	1																						0
Quill 4 (N)	7	40	1						Pimps	1																						0
Quill 5 (N)	7	46	1						Pimps	1																						0
Quill 1 (H)	7	60	1						Pimps	1																						0
Quill 2 (H)	7	62	1						Pimps	1																						0
Quill 3 (H)	7	65	1						Pimps	1																						0
Quill 4 (H)	7	68	1						Pimps	1																						0
Quill 5 (H)	7	85	1						Pimps	1																						0
Swarm 1	8	0	1						Pimps	1																						0
Swarm 2	8	20	1						Pimps	1																						0
Swarm 1 (N)	8	40	1						Pimps	1																						0
Swarm 2 (N)	8	46	1						Pimps	1																						0
Swarm 1 (H)	8	68	1						Pimps	1																						0
Swarm 2 (H)	8	74	1						Pimps	1																						0
Act 1 Wraith A	9	0	1					20	Act 1 Good	1	mp1	9																				0
Act 1 Wraith B	9	5	1					20	Act 1 Good	1	mp1	9																				0
Act 1 Wraith C	9	9	1					20	Act 1 Good	1	mp1	9																				0
Act 2 Wraith A	9	12	1					20	Act 2 Good	1	mp2	9																				0
Act 2 Wraith B	9	15	1					20	Act 2 Good	1	mp2	9																				0
Act 2 Wraith C	9	18	1					20	Act 3 Good	1	mp2	9																				0
Act 3 Wraith A	9	20	1					20	Act 3 Good	1	mp3	9																				0
Act 3 Wraith B	9	22	1					20	Act 3 Good	1	mp3	9																				0
Act 3 Wraith C	9	24	1					20	Act 3 Good	1	mp3	9																				0
Act 4 Wraith A	9	26	1					20	Act 4 Good	1	mp4	9																				0
Act 4 Wraith B	9	29	1					20	Act 4 Good	1	mp4	9																				0
Act 5 Wraith A	9	32	1					20	Act 5 Good	1	mp4	9																				0
Act 5 Wraith B	9	34	1					20	Act 5 Good	1	mp4	9																				0
Act 5 Wraith C	9	36	1					20	Act 5 Good	1	mp4	9																				0
Act 1 (N) Wraith A	9	38	1					20	Act 1 (N) Good	1	mp4	9																				0
Act 1 (N) Wraith B	9	40	1					20	Act 1 (N) Good	1	mp4	9																				0
Act 1 (N) Wraith C	9	41	1					20	Act 1 (N) Good	1	mp4	9																				0
Act 2 (N) Wraith A	9	42	1					20	Act 2 (N) Good	1	mp4	9																				0
Act 2 (N) Wraith B	9	44	1					20	Act 2 (N) Good	1	mp4	9																				0
Act 2 (N) Wraith C	9	45	1					20	Act 2 (N) Good	1	mp4	9																				0
Act 3 (N) Wraith A	9	46	1					20	Act 3 (N) Good	1	mp4	9																				0
Act 3 (N) Wraith B	9	48	1					20	Act 3 (N) Good	1	mp4	9																				0
Act 3 (N) Wraith C	9	50	1					20	Act 3 (N) Good	1	mp4	9																				0
Act 4 (N) Wraith A	9	51	1					20	Act 4 (N) Good	1	mp4	9																				0
Act 4 (N) Wraith B	9	54	1					20	Act 4 (N) Good	1	mp4	9																				0
Act 5 (N) Wraith A	9	57	1					20	Act 5 (N) Good	1	mp4	9																				0
Act 5 (N) Wraith B	9	60	1					20	Act 5 (N) Good	1	mp4	9																				0
Act 5 (N) Wraith C	9	62	1					20	Act 5 (N) Good	1	mp4	9																				0
Act 1 (H) Wraith A	9	63	1					20	Act 1 (H) Good	1	mp5	9																				0
Act 1 (H) Wraith B	9	66	1					20	Act 1 (H) Good	1	mp5	9																				0
Act 1 (H) Wraith C	9	68	1					20	Act 1 (H) Good	1	mp5	9																				0
Act 2 (H) Wraith A	9	69	1					20	Act 2 (H) Good	1	mp5	9																				0
Act 2 (H) Wraith B	9	71	1					20	Act 2 (H) Good	1	mp5	9																				0
Act 2 (H) Wraith C	9	72	1					20	Act 2 (H) Good	1	mp5	9																				0
Act 3 (H) Wraith A	9	74	1					20	Act 3 (H) Good	1	mp5	9																				0
Act 3 (H) Wraith B	9	75	1					20	Act 3 (H) Good	1	mp5	9																				0
Act 3 (H) Wraith C	9	77	1					20	Act 3 (H) Good	1	mp5	9																				0
Act 4 (H) Wraith A	9	78	1					20	Act 4 (H) Good	1	mp5	9																				0
Act 4 (H) Wraith B	9	80	1					20	Act 4 (H) Good	1	mp5	9																				0
Act 5 (H) Wraith A	9	81	1					20	Act 5 (H) Good	1	mp5	9																				0
Act 5 (H) Wraith B	9	83	1					20	Act 5 (H) Good	1	mp5	9																				0
Act 5 (H) Wraith C	9	85	1					20	Act 5 (H) Good	1	mp5	9																				0
Act 1 Champ A	10	0	1						Equip 0	1																						0
Act 1 Champ B	10	5	1						Equip 5	1																						0
Act 1 Champ C	10	9	1						Equip 9	1																						0
Act 2 Champ A	10	12	1						Equip 12	1																						0
Act 2 Champ B	10	15	1						Equip 15	1																						0
Act 2 Champ C	10	18	1						Equip 18	1																						0
Act 3 Champ A	10	20	1						Equip 20	1																						0
Act 3 Champ B	10	22	1						Equip 22	1																						0
Act 3 Champ C	10	24	1						Equip 24	1																						0
Act 4 Champ A	10	26	1						Equip 26	1																						0
Act 4 Champ B	10	29	1						Equip 29	1																						0
Act 5 Champ A	10	32	1						Equip 32	1																						0
Act 5 Champ B	10	34	1						Equip 34	1																						0
Act 5 Champ C	10	36	1						Equip 36	1																						0
Act 1 (N) Champ A	10	38	1						Equip 38	1																						0
Act 1 (N) Champ B	10	40	1						Equip 40	1																						0
Act 1 (N) Champ C	10	41	1						Equip 40	1																						0
Act 2 (N) Champ A	10	42	1						Equip 42	1																						0
Act 2 (N) Champ B	10	44	1						Equip 44	1																						0
Act 2 (N) Champ C	10	45	1						Equip 44	1																						0
Act 3 (N) Champ A	10	46	1						Equip 46	1																						0
Act 3 (N) Champ B	10	48	1						Equip 48	1																						0
Act 3 (N) Champ C	10	50	1						Equip 50	1																						0
Act 4 (N) Champ A	10	51	1						Equip 50	1																						0
Act 4 (N) Champ B	10	54	1						Equip 54	1	Equip 52	1																				0
Act 4 (N) Champ C	10	56	1						Equip 56	1																						0
Act 5 (N) Champ A	10	57	1						Equip 56	1																						0
Act 5 (N) Champ B	10	60	1						Equip 60	1	Equip 58	1																				0
Act 5 (N) Champ C	10	62	1						Equip 62	1																						0
Act 1 (H) Champ A	10	63	1						Equip 62	1																						0
Act 1 (H) Champ B	10	66	1						Equip 66	1	Equip 64	1																				0
Act 1 (H) Champ C	10	68	1						Equip 68	1																						0
Act 2 (H) Champ A	10	69	1						Equip 68	1																						0
Act 2 (H) Champ B	10	71	1						Equip 71	1	Equip 70	1																				0
Act 2 (H) Champ C	10	72	1						Equip 71	1																						0
Act 3 (H) Champ A	10	74	1						Equip 73	1																						0
Act 3 (H) Champ B	10	75	1						Equip 75	1																						0
Act 3 (H) Champ C	10	77	1						Equip 77	1	Equip 76	1																				0
Act 4 (H) Champ A	10	78	1						Equip 78	1																						0
Act 4 (H) Champ B	10	80	1						Equip 80	1	Equip 79	1																				0
Act 5 (H) Champ A	10	81	1						Equip 81	1																						0
Act 5 (H) Champ B	10	83	1						Equip 83	1	Equip 82	1																				0
Act 5 (H) Champ C	10	85	1						Equip 85	1	Equip 84	1																				0
Act 1 Unique A	11	0	2						Equip 0	1																						0
Act 1 Unique B	11	5	2						Equip 5	1																						0
Act 1 Unique C	11	9	2						Equip 9	1																						0
Act 2 Unique A	11	12	2						Equip 12	1																						0
Act 2 Unique B	11	15	2						Equip 15	1																						0
Act 2 Unique C	11	18	2						Equip 18	1																						0
Act 3 Unique A	11	20	2						Equip 20	1																						0
Act 3 Unique B	11	22	2						Equip 22	1																						0
Act 3 Unique C	11	24	2						Equip 24	1																						0
Act 4 Unique A	11	26	2						Equip 26	1																						0
Act 4 Unique B	11	29	2						Equip 29	1																						0
Act 5 Unique A	11	32	2						Equip 32	1																						0
Act 5 Unique B	11	34	2						Equip 34	1																						0
Act 5 Unique C	11	36	2						Equip 36	1																						0
Act 1 (N) Unique A	11	38	2						Equip 38	1																						0
Act 1 (N) Unique B	11	40	2						Equip 40	1																						0
Act 1 (N) Unique C	11	41	2						Equip 40	1																						0
Act 2 (N) Unique A	11	42	2						Equip 42	1																						0
Act 2 (N) Unique B	11	44	2						Equip 44	1																						0
Act 2 (N) Unique C	11	45	2						Equip 44	1																						0
Act 3 (N) Unique A	11	46	2						Equip 46	1																						0
Act 3 (N) Unique B	11	48	2						Equip 48	1																						0
Act 3 (N) Unique C	11	50	2						Equip 50	1																						0
Act 4 (N) Unique A	11	51	2						Equip 50	1																						0
Act 4 (N) Unique B	11	54	2						Equip 54	1	Equip 52	1																				0
Act 5 (N) Unique A	11	57	2						Equip 56	1																						0
Act 5 (N) Unique B	11	60	2						Equip 60	1	Equip 58	1																				0
Act 5 (N) Unique C	11	62	2						Equip 62	1																						0
Act 1 (H) Unique A	11	63	2						Equip 62	1																						0
Act 1 (H) Unique B	11	66	2						Equip 66	1	Equip 64	1																				0
Act 1 (H) Unique C	11	68	2						Equip 68	1																						0
Act 2 (H) Unique A	11	69	2						Equip 68	1																						0
Act 2 (H) Unique B	11	71	2						Equip 71	1	Equip 70	1																				0
Act 2 (H) Unique C	11	72	2						Equip 71	1																						0
Act 3 (H) Unique A	11	74	2						Equip 73	1																						0
Act 3 (H) Unique B	11	75	2						Equip 75	1																						0
Act 3 (H) Unique C	11	77	2						Equip 77	1	Equip 76	1																				0
Act 4 (H) Unique A	11	78	2						Equip 78	1																						0
Act 4 (H) Unique B	11	80	2						Equip 80	1	Equip 79	1																				0
Act 5 (H) Unique A	11	81	2						Equip 81	1																						0
Act 5 (H) Unique B	11	83	2						Equip 83	1	Equip 82	1																				0
