name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Armet	100	0	1	1	149	149	0	0	109	0	48	0	68	46	23314	67170	ulm	ulm			hlm	hlm	hlm	xlm	ulm	0	0	2	2	1	4	1	flphlm	invhlm	invhlmu	invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Assault Helmet	100	0	1	1	35	35	0	0	55	0	100	0	20	10	1140	2936	ba4	ba4			ba5	bhm	ba4	ba9	bae	0	0	2	2	1	4	1	flpba5	invba4									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1	3	4			1					1					1					1			5	8	0	xxx	xxx	0	0	1
Avenger Guard	100	0	1	1	50	50	0	0	65	0	110	0	24	13	1928	4928	ba5	ba5			ba5	bhm	ba5	baa	baf	0	0	2	2	1	4	1	flpba5	invba5									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1	3	4			1					1			5	8	0	xxx	xxx	0	0	1
Balrog Skin	100	0	1	1	517	517	0	5	165	0	60	0	76	52	95118	144295	upl	upl			spl	spl	spl	xpl	upl	0	1	2	3	1	6	1	flpspl	invspl			1	1	2	1	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Barbed Shield	0	0	1	1	78	78	0	0	65	12	110	0	42	20	7718	17232	xpk	xpk			spk	spk	spk	xpk	upk	0	7	2	3	1	6	2	flpspk	invspk	invxpku	invxpku							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	18	35	100		0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Basinet	0	0	1	1	84	84	0	0	82	0	60	0	45	20	9694	23391	xhl	xhl			fhl	fhl	fhl	xhl	uhl	0	0	2	2	1	4	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
Battle Belt	0	0	1	1	42	42	0	0	88	0	36	0	49	20	5238	15119	ztb	ztb			mbl	mbl	tbl	ztb	utc	0	16	2	1	1	2	1	flptbl	invtbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
Battle Boots	0	0	1	1	47	47	0	0	95	0	36	0	49	20	5636	16095	xtb	xtb			mbt	mbt	tbt	xtb	utb	0	16	2	2	1	4	1	flptbt	invtbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	37	64	120		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
Battle Gauntlets	0	0	1	1	47	47	0	0	88	0	36	0	49	20	5638	16103	xtg	xtg			mgl	mgl	tgl	xtg	utg	0	16	2	2	1	4	1	flptgl	invtgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
Belt(M)	0	0	1	1	5	5	0	0	25	0	32	0	12	0	166	999	mbl	mbl			mbl	mbl	mbl	zmb	umc	0	16	2	1	1	2	1	flpmbl	invmbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	3	0	0	4	0	0	0			0	1		1			1					1					1	2	3			1					1					1					1					1					1					1	1	2			1	1	2			1					1					1					1					1					1			0	8	0	tbl	hbl	0	0	1
Blade Barrier	100	0	1	1	163	163	0	0	118	20	166	0	68	46	28482	41391	upk	upk			spk	spk	spk	xpk	upk	0	7	2	3	1	6	2	flpspk	invspk	invspku	invspku							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	26	40	100		0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Blood Spirt	100	0	1	1	145	145	0	0	86	0	40	0	62	41	20586	41391	drb	drb			dr1	dr1	dr1	dr6	drb	0	0	2	2	1	4	1	flpdr1	invdr1									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Bloodlord Skull	100	0	1	1	148	148	0	0	106	12	40	0	85	60	28746	8207	nef	nef		305	ne2	bhm	ne5	nea	nef	0	10	2	2	1	4	2	flpne2	invne5									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	0	0	xxx	xxx	0	0	1
Bone Helm	0	0	1	1	36	36	0	0	25	0	80	0	22	0	2108	4828	bhm	bhm			bhm	hlm	bhm	xh9	uh9	0	0	2	2	1	4	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	1					1					1					1					1					1	1	2			1					1					1		1			1					1					1					1					1					1					1					1		2			1			7	8	0	xxx	xxx	0	0	1
Bone Shield	0	0	1	1	30	30	0	0	25	14	80	0	19	0	1058	2708	bsh	bsh			bsh	buc	bsh	xsh	ush	0	7	2	3	1	6	2	flpbsh	invbsh	invbshu	invbshu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	3	6	100		0	1					1					1					1					1					1	1	2			1					1					1		1			1					1					1					1					1					1					1					1		2			1			8	8	0	xxx	xxx	0	0	1
Bone Visage	100	0	1	1	157	157	0	0	106	0	80	0	84	58	29092	59816	uh9	uh9			bhm	bhm	bhm	xh9	uh9	0	0	2	2	1	4	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			7	8	0	xxx	xxx	0	0	1
Boneweave	100	0	1	1	505	505	0	5	158	0	90	0	62	42	75900	126967	uhn	uhn			chn	chn	chn	xhn	uhn	0	1	2	3	1	6	1	flpchn	invchn			1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Boneweave Boots	100	0	1	1	67	67	0	0	118	0	32	0	72	49	12152	35201	umb	umb			mbt	mbt	mbt	xmb	umb	0	16	2	2	1	4	1	flpmbt	invmbt									0	0	0	0	0	boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0	0	6	0	69	118	120		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
Bracers(M)	0	0	1	1	9	9	0	0	25	0	32	0	12	0	286	1108	mgl	mgl			mgl	mgl	mgl	xmg	umg	0	16	2	2	1	4	1	flpmgl	invmgl									0	0	0	0	0	glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0	0	5	0	0	0			0	3		1			1					1					1	2	3			1					1					1					1					1					1					1	1	2			1	1	2			1					1					1					1					1					1			0	8	0	tgl	hgl	0	0	1
Bramble Mitts	100	0	1	1	62	62	0	0	50	0	24	0	57	37	8974	26994	ulg	ulg			lgl	lgl	lgl	xlg	ulg	0	16	2	2	1	4	1	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
Breast Plate	0	0	1	1	68	68	1	0	30	0	100	0	18	0	3360	2993	brs	brs			brs	brs	brs	xrs	urs	0	1	2	3	1	6	1	flpbrs	invbrs			0	0	2	0	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1		2			1					1					1	1	2			1					1					1					1	2	2			1	2	2			1					1					1					1					1					1			7	8	0	spl	plt	0	0	1
Buckler	0	0	1	1	10	10	0	0	0	6	32	0	1	0	22	551	buc	buc			buc	buc	buc	xuc	uuc	0	7	2	2	1	4	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	2	3	100		0	3	2	2			1		2			1					1					1					1					1					1					1					1	2	3			1					1		1			1					1					1					1					1					1			8	8	0	lrg	tow	0	0	1
Cantor Trophy	100	0	1	1	64	64	0	0	50	10	40	0	49	31	7584	8207	ne9	ne9		305	ne3	bhm	ne4	ne9	nee	0	10	2	2	1	4	2	flpne3	invne4									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	0	0	xxx	xxx	0	0	1
Cap/hat	0	0	1	1	5	5	0	0	0	0	24	0	1	0	22	302	cap	cap			cap	cap	cap	xap	uap	0	0	2	2	1	4	1	flpcap	invcap	invcapu	invcapu							0	0	0	0	0	helm		item_cap	12	item_cap	0	0	5	0	0	0	0	0	3	0	0	0			0	1	2	2			1		2			1					1					1					1					1					1					1					1	1	2			1					1					1					1					1					1					1					1			2	8	0	skp	ghm	0	0	1
Carnage Helm	100	0	1	1	147	147	0	0	106	0	50	0	60	40	20216	41392	bab	bab			ba1	dr1	ba1	ba6	bab	0	0	2	2	1	4	1	flpba1	invba1									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	0	0	xxx	xxx	0	0	1
Casque	0	0	1	1	72	72	0	0	59	0	48	0	42	20	7692	17180	xlm	xlm			hlm	hlm	hlm	xlm	ulm	0	0	2	2	1	4	1	flphlm	invhlm	invhlmu	invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Chain Boots	0	0	1	1	9	9	0	0	30	0	32	0	12	0	284	1106	mbt	mbt			mbt	mbt	mbt	xmb	umb	0	16	2	2	1	4	1	flpmbt	invmbt									0	0	0	0	0	boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0	0	6	0	6	12	120		0	3		1			1					1					1	2	3			1					1					1					1					1					1					1	1	2			1	1	2			1					1					1					1					1					1			0	8	0	tbt	hbt	0	0	1
Chain Mail	0	0	1	1	75	75	0	5	48	0	90	0	15	0	3120	2405	chn	chn			chn	chn	chn	xhn	uhn	0	1	2	3	1	6	1	flpchn	invchn			1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1	1	2			1					1					1		2			1					1					1					1	2	2			1	2	2			1					1					1					1					1					1			7	8	0	brs	spl	0	0	1
Chaos Armor	0	0	1	1	342	342	2	10	140	0	140	0	61	20	54224	94571	xul	xul			ful	ful	ful	xul	uul	0	1	2	3	1	6	1	flpful	invful			2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Circlet	100	0	1	1	30	30	0	0	0	0	70	0	24	11	4000	8563	ci0	ci0	3		lit	lit	ci0	ci2	ci3	0	0	2	2	1	4	1	flpci0	invci0									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	0	0	1
Colossus Girdle	100	0	1	1	71	71	0	0	185	0	48	0	85	62	15018	49378	uhc	uhc			hbl	hbl	hbl	zhb	uhc	0	16	2	1	1	2	1	flphbl	invhbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
Conquerer Crown	100	0	1	1	159	159	0	0	174	0	100	0	80	55	29426	41392	bae	bae			ba5	bhm	ba4	ba9	bae	0	0	2	2	1	4	1	flpba5	invba4									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	0	0	xxx	xxx	0	0	1
Corona	100	0	1	1	165	165	0	0	174	0	100	0	85	61	31590	104217	urn	urn			crn	crn	crn	xrn	urn	0	0	2	2	1	4	1	flpcrn	invcrn									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Coronet	100	0	1	1	40	40	0	0	0	0	60	0	52	34	7666	17125	ci1	ci1	8		lit	lit	ci1	ci2	ci3	0	0	2	2	1	4	1	flpci1	invci1									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	1	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	0	0	1
Crown	0	0	1	1	45	45	0	0	55	0	100	0	29	0	2782	7750	crn	crn			crn	hlm	crn	xrn	urn	0	0	2	2	1	4	1	flpcrn	invcrn									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1	1	2			1					1					1					1					1					1	2	2			1		1			1	1	2			1					1					1			2	8	0	xxx	xxx	0	0	1
Crown Shield	100	0	1	1	40	40	0	0	65	25	120	0	24	13	2312	8208	pa5	pa5		304	pa5	spk	pa5	paa	paf	0	7	2	2	1	4	2	flppa5	invpa5									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	5	0	0	0	1	0	4	12	100		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1	3	4			1					1			0	0	0	xxx	xxx	0	0	1
Crusader Gauntlets	100	0	1	1	68	68	0	0	151	0	36	0	76	52	13040	42062	utg	utg			mgl	mgl	tgl	xtg	utg	0	16	2	2	1	4	1	flptgl	invtgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
Cuirass	0	0	1	1	202	202	1	0	65	0	100	0	47	20	24906	30823	xrs	xrs			brs	brs	brs	xrs	urs	0	1	2	3	1	6	1	flpbrs	invbrs		invxrss	0	0	2	0	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Death Mask	0	0	1	1	86	86	0	0	55	0	40	0	48	20	9064	24118	xsk	xsk			msk	msk	msk	xsk	usk	0	0	2	2	1	4	1	flpmsk	invmsk									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	0	0	1
Defender	0	0	1	1	49	49	0	0	38	7	136	0	34	17	4188	7712	xuc	xuc			buc	buc	buc	xuc	uuc	0	7	2	2	1	4	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	8	12	100		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Demon Head	100	0	1	1	20	20	0	0	25	12	40	0	24	13	1158	3535	ne5	ne5		305	ne2	bhm	ne5	nea	nef	0	10	2	2	1	4	2	flpne2	invne5									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1	3	4			1					1			1	0	0	xxx	xxx	0	0	1
Demonhead	100	0	1	1	154	154	0	0	102	0	40	0	74	50	25526	79970	usk	usk			msk	msk	msk	xsk	usk	0	0	2	2	1	4	1	flpmsk	invmsk									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			1	2	0	xxx	xxx	0	0	1
Demonhide Armor	0	0	1	1	136	136	0	0	50	0	56	0	37	20	13030	11988	xla	xla			hla	hla	hla	xla	ula	0	1	2	3	1	6	1	flphla	invhla			1	1	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	8	0	xxx	xxx	0	0	1
Demonhide Boots	0	0	1	1	35	35	0	0	20	0	24	0	36	19	3076	6410	xlb	xlb			lbt	lbt	lbt	xlb	ulb	0	16	2	2	1	4	1	flplbt	invlbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	26	46	120		0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
Demonhide Gloves	0	0	1	1	35	35	0	0	20	0	24	0	33	16	2826	6410	xlg	xlg			lgl	lgl	lgl	xlg	ulg	0	16	2	2	1	4	1	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
Demonhide Sash	0	0	1	1	34	34	0	0	20	0	24	0	36	19	3102	6449	zlb	zlb			lbl	lbl	lbl	zlb	ulc	0	16	2	1	1	2	1	flplbl	invlbl									0	0	0	0	0	belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	6	0	0	4	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	8	0	xxx	xxx	0	0	1
