24|Charged Strike|ama|18|Power Strike|16|1|1|6|ltng|1|0|0|0|0|0|30|12|16|20|24|28|(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8|10|8
25|Plague Javelin|ama|18|Lightning Bolt|14|1|1|7|pois|10|6|12|20|40|60|16|6|12|20|40|60|(skill('Poison Javelin'.blvl))*par8|10|3
26|Strafe|ama|24|Guided Arrow|11|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
27|Immolation Arrow|ama|24|Exploding Arrow|12|1|1|7|fire|10|10|20|30|32|34|20|10|20|30|32|34|(skill('Exploding Arrow'.blvl)) * par8|10|8
28|Dopplezon|ama|24|Slow Missiles|76|-3|1|6||0|0|0|0|0|0|0|0|0|0|0|0||0|8
29|Evade|ama|24|Avoid|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
30|Fend|ama|24|Impale|5|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
31|Freezing Arrow|ama|30|Ice Arrow|18|1|1|7|cold|40|10|15|20|22|24|50|10|15|20|22|24|(skill('Cold Arrow'.blvl))*par8|12|8
32|Valkyrie|ama|30|Dopplezon|25|1|1|8||0|0|0|0|0|0|0|0|0|0|0|0||20|8
33|Pierce|ama|30|Penetrate|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
34|Lightning Strike|ama|30|Charged Strike|9|0|1|8|ltng|1|0|0|0|0|0|25|10|15|20|25|30|(skill('Charged Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8|8|8
35|Lightning Fury|ama|30|Plague Javelin|20|1|1|7|ltng|1|0|0|0|0|0|40|20|30|40|50|50|(skill('Charged Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Strike'.blvl)) * par8|1|8
36|Fire Bolt|sor|1||5|0|1|7|fire|6|3|4|8|18|54|12|3|6|10|20|56|(skill('Fire Ball'.blvl)+skill('Meteor'.blvl))*par8|16|7
37|Warmth|sor|1||0|0|0|8|fire|0|0|0|0|0|0|0|0|0|0|0|0||0|8
38|Charged Bolt|sor|1||24|4|1|5|ltng|4|1|1|2|3|4|8|1|1|2|3|4|(skill('Lightning'.blvl))*par8|6|7
39|Ice Bolt|sor|1||3|0|1|8|cold|6|2|4|6|8|10|10|3|5|7|9|11|(skill('Frost Nova'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8|15|7
40|Frozen Armor|sor|1||7|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||5|8
41|Inferno|sor|6||36|1|0|2|fire|32|24|26|28|32|36|64|24|27|29|33|37|(skill('Warmth'.blvl))*par8|13|2
42|Static Field|sor|6||9|0|1|8|ltng|0|0|0|0|0|0|0|0|0|0|0|0||0|8
43|Telekinesis|sor|6||7|0|1|8|ltng|1|1|1|1|1|1|2|1|1|1|1|1||0|8
44|Frost Nova|sor|6||9|1|1|8|cold|4|4|6|8|10|12|8|5|7|9|11|13|(skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8|10|7
45|Ice Blast|sor|6|Ice Bolt|12|1|1|7|cold|16|14|28|42|56|70|24|15|29|43|57|71|(skill('Ice Bolt'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8|8|7
46|Blaze|sor|12|Inferno|22|1|1|7|fire|4|2|3|4|6|9|8|2|3|4|6|9||0|4
47|Fire Ball|sor|12|Fire Bolt|10|1|1|7|fire|12|13|23|28|33|38|28|15|25|30|35|40|(skill('Fire Bolt'.blvl)+skill('Meteor'.blvl))*par8|14|7
48|Nova|sor|12|Static Field|15|1|1|8|ltng|1|6|7|8|9|10|20|8|9|10|11|12||0|8
49|Lightning|sor|12|Charged Bolt|16|1|1|7|ltng|1|0|0|0|0|0|40|8|12|20|28|36|(skill('Charged Bolt'.blvl)+skill('Chain Lightning'.blvl)+skill('Nova'.blvl))*par8|8|8
50|Shiver Armor|sor|12|Ice Blast|11|0|1|8|cold|12|4|6|8|10|12|16|5|7|9|11|13|(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par8|9|7
51|Fire Wall|sor|18|Blaze|22|1|1|8|fire|15|9|14|21|21|21|20|9|14|21|21|21||0|4
52|Enchant|sor|18|Warmth|25|1|1|8|fire|16|3|7|11|15|19|20|5|9|13|17|21|(skill('Warmth'.blvl))*par8|9|7
53|Chain Lightning|sor|18|Lightning|9|1|1|8|ltng|1|0|0|0|0|0|40|11|13|15|15|15|(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Nova'.blvl))*par8|4|8
54|Teleport|sor|18|Telekinesis|24|-1|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
55|Glacial Spike|sor|18|Ice Blast|20|1|1|7|cold|32|14|26|28|30|32|48|15|27|29|31|33|(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Frozen Orb'.blvl))*par8|5|7
56|Meteor|sor|24|Fire Ball|34|1|1|7|fire|80|23|39|79|81|83|100|25|41|81|83|85|(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl))*par8|5|8
57|Thunder Storm|sor|24|Nova|19|0|1|8|ltng|1|10|10|11|11|11|100|10|10|11|11|11||0|8
58|Energy Shield|sor|24|Teleport|5|0|1|8||20|5|2|1|1|1|0|0|0|0|0|0||0|8
59|Blizzard|sor|24|Frost Nova|23|1|1|8|cold|45|15|30|45|55|65|75|16|31|46|56|66|(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl))*par8|5|8
60|Chilling Armor|sor|24|Shiver Armor|17|0|1|8|cold|8|2|4|6|8|10|12|3|5|7|9|11|(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par8|7|7
61|Fire Mastery|sor|30||0|0|0|8|fire|0|0|0|0|0|0|0|0|0|0|0|0||0|8
62|Hydra|sor|30|Enchant|40|1|1|7|fire|24|9|13|17|21|25|34|11|15|19|23|27|(skill('Fire Bolt'.blvl) + skill('Fire Ball'.blvl))*par8|3|7
63|Lightning Mastery|sor|30||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
64|Frozen Orb|sor|30|Blizzard|50|1|1|7|cold|80|20|24|28|29|30|90|21|25|29|30|31|(skill('Ice Bolt'.blvl))*par8|2|7
65|Cold Mastery|sor|30||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
66|Amplify Damage|nec|1||4|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
67|Teeth|nec|1||6|1|1|7|mag|4|2|2|3|4|5|8|2|3|4|5|6|(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Bone Spear'.blvl)+skill('Bone Spirit'.blvl))*par8|15|7
68|Bone Armor|nec|1||11|1|1|8||0|0|0|0|0|0|0|0|0|0|0|0||15|8
69|Skeleton Mastery|nec|1|Raise Skeleton|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
70|Raise Skeleton|nec|1||6|1|1|8||0|0|1|2|3|4|0|0|0|0|0|0||0|8
71|Dim Vision|nec|6||9|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
72|Weaken|nec|6|Amplify Damage|4|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
73|Poison Dagger|nec|6||12|1|1|6|pois|18|10|15|20|23|26|40|10|15|20|23|26|(skill('Poison Explosion'.blvl)+skill('Poison Nova'.blvl))*par8|20|1
74|Corpse Explosion|nec|6|Teeth|15|1|1|8|fire|0|0|0|0|0|0|0|0|0|0|0|0||0|8
75|Clay Golem|nec|6||15|3|1|8||0|0|0|0|0|0|0|0|0|0|0|0||20|8
76|Iron Maiden|nec|12|Amplify Damage|5|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
77|Terror|nec|12|Weaken|7|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
78|Bone Wall|nec|12|Bone Armor|17|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||10|8
79|Golem Mastery|nec|12|Clay Golem|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
80|Raise Skeletal Mage|nec|12|Raise Skeleton|8|1|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
81|Confuse|nec|18|Dim Vision|13|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
82|Life Tap|nec|18|Iron Maiden|9|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
83|Poison Explosion|nec|18|Poison Dagger|8|0|1|8|pois|8|2|4|6|8|10|24|2|4|6|8|10|(skill('Poison Dagger'.blvl)+skill('Poison Nova'.blvl))*par8|15|4
84|Bone Spear|nec|18|Corpse Explosion|28|1|1|6|mag|16|8|9|12|18|24|24|8|9|13|19|25|(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Teeth'.blvl)+skill('Bone Spirit'.blvl))*par8|7|8
85|BloodGolem|nec|18|Clay Golem|25|4|1|8||0|0|0|0|0|0|0|0|0|0|0|0||5|8
86|Attract|nec|24|Confuse|17|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
87|Decrepify|nec|24|Terror|11|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
88|Bone Prison|nec|24|Bone Wall|27|-1|1|8||0|0|0|0|0|0|0|0|0|0|0|0||8|8
89|Summon Resist|nec|24|Golem Mastery|44|-3|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
90|IronGolem|nec|24|BloodGolem|35|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||35|8
91|Lower Resist|nec|30|Life Tap|22|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
92|Poison Nova|nec|30|Poison Explosion|20|0|1|8|pois|14|4|5|8|12|14|25|4|5|8|12|14|(skill('Poison Dagger'.blvl)+skill('Poison Explosion'.blvl))*par8|10|4
93|Bone Spirit|nec|30|Bone Spear|24|1|1|7|mag|20|16|17|18|19|20|30|17|18|19|20|21|(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Teeth'.blvl)+skill('Bone Spear'.blvl))*par8|6|8
94|FireGolem|nec|30|IronGolem|50|10|1|8|fire|10|9|10|11|12|13|27|10|11|12|13|14||6|8
95|Revive|nec|30|Raise Skeletal Mage|45|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
96|Sacrifice|pal|1||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||15|8
97|Smite|pal|1||2|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
98|Might|pal|1||0|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
99|Prayer|pal|1||16|3|1|4||2|1|1|2|2|3|0|0|0|0|0|0||0|8
100|Resist Fire|pal|1||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
101|Holy Bolt|pal|6||32|1|1|4|mag|8|8|10|13|16|20|16|8|11|15|18|23|(skill('Blessed Hammer'.blvl)+skill('Fist of the Heavens'.blvl))*par8|50|8
102|Holy Fire|pal|6|Might|0|0|0|8|fire|2|1|2|3|5|7|6|1|2|3|5|7|skill('Resist Fire'.blvl)*par8+skill('Salvation'.blvl)*par7|18|7
103|Thorns|pal|6||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
104|Defiance|pal|6||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
105|Resist Cold|pal|6||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
106|Zeal|pal|12|Sacrifice|2|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||12|8
107|Charge|pal|12|Smite|9|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||20|8
108|Blessed Aim|pal|12|Might|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||5|8
109|Cleansing|pal|12|Prayer|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
110|Resist Lightning|pal|12||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
111|Vengeance|pal|18|Zeal|16|1|1|6|cold|0|0|0|0|0|0|0|0|0|0|0|0||10|8
112|Blessed Hammer|pal|18|Holy Bolt|20|1|1|6|mag|12|8|10|12|13|14|16|8|10|12|13|14|(skill('Vigor'.blvl)+skill('Blessed Aim'.blvl))*par8|14|8
113|Concentration|pal|18|Blessed Aim|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
114|Holy Freeze|pal|18|Holy Fire|0|0|0|8|cold|2|1|2|3|4|5|3|1|2|3|4|5|skill('Resist Cold'.blvl)*par8+skill('Salvation'.blvl)*par7|15|8
115|Vigor|pal|18|Cleansing|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
116|Conversion|pal|24|Vengeance|4|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
117|Holy Shield|pal|24|Charge|35|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||15|8
118|Holy Shock|pal|24|Holy Freeze|0|0|0|8|ltng|1|0|0|0|0|0|10|6|8|10|12|15|skill('Resist Lightning'.blvl)*par8+skill('Salvation'.blvl)*par7|12|8
119|Sanctuary|pal|24|Thorns|1|0|1|8|mag|8|4|4|5|5|6|16|4|5|6|6|7|skill('Cleansing'.blvl)*par8|7|8
120|Meditation|pal|24|Cleansing|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
121|Fist of the Heavens|pal|30|Blessed Hammer|25|0|1|8|ltng|150|15|30|45|55|65|200|15|30|45|55|65|skill('Holy Shock'.blvl)*par8|7|8
122|Fanaticism|pal|30|Concentration|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
123|Conviction|pal|30|Sanctuary|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
124|Redemption|pal|30|Vigor|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
125|Salvation|pal|30||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
126|Bash|bar|1||2|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||5|8
127|Sword Mastery|bar|1||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
128|Axe Mastery|bar|1||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
129|Mace Mastery|bar|1||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
130|Howl|bar|1||4|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
131|Find Potion|bar|1||2|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
132|Leap|bar|6||2|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
133|Double Swing|bar|6|Bash|8|-1|0|5||0|0|0|0|0|0|0|0|0|0|0|0||10|8
134|Pole Arm Mastery|bar|6||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
135|Throwing Mastery|bar|6||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
136|Spear Mastery|bar|6||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
137|Taunt|bar|6|Howl|3|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
138|Shout|bar|6|Howl|6|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||125|8
139|Stun|bar|12|Bash|2|0|1|8|stun|0|0|0|0|0|0|0|0|0|0|0|0||8|8
140|Double Throw|bar|12|Double Swing|1|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||8|8
141|Increased Stamina|bar|12||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
142|Find Item|bar|12|Find Potion|7|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
143|Leap Attack|bar|18|Leap|9|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||10|8
144|Concentrate|bar|18|Stun|2|0|1|8|mag|0|0|0|0|0|0|0|0|0|0|0|0||5|8
145|Iron Skin|bar|18||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
146|Battle Cry|bar|18|Taunt|5|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
147|Frenzy|bar|24|Double Throw|3|0|1|7|mag|0|0|0|0|0|0|0|0|0|0|0|0||8|8
148|Increased Speed|bar|24|Increased Stamina|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
149|Battle Orders|bar|24|Shout|7|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||125|8
150|Grim Ward|bar|24|Find Item|4|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
151|Whirlwind|bar|30|Leap Attack|50|1|1|7||0|0|0|0|0|0|0|0|0|0|0|0||0|8
152|Berserk|bar|30|Concentrate|4|0|1|8|mag|0|0|0|0|0|0|0|0|0|0|0|0||10|8
153|Natural Resistance|bar|30|Iron Skin|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
154|War Cry|bar|30|Battle Cry|10|1|1|8||0|0|0|0|0|0|0|0|0|0|0|0||6|8
155|Battle Command|bar|30|Battle Orders|11|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||125|8
221|Raven|dru|1||6|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
222|Plague Poppy|dru|1||8|0|1|8|pois|12|7|12|15|17|19|16|7|12|15|17|19||0|0
223|Wearwolf|dru|1||15|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
224|Shape Shifting|dru|1|Wearwolf|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
225|Firestorm|dru|1||4|0|1|8|fire|3|3|5|7|14|21|6|3|6|8|15|23|(skill('Molten Boulder'.blvl)+skill('Eruption'.blvl))*par8|23|2
226|Oak Sage|dru|6||15|1|1|8||0|0|0|0|0|0|0|0|0|0|0|0||2|8
227|Summon Spirit Wolf|dru|6|Raven|15|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||5|8
228|Wearbear|dru|6||15|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
229|Molten Boulder|dru|6|Firestorm|20|1|1|7|fire|6|4|7|10|13|16|12|5|8|11|14|17|skill('Firestorm'.blvl)*par8|8|8
230|Arctic Blast|dru|6||24|1|0|2|cold|21|16|18|20|24|29|40|16|19|21|25|31|(skill('Cyclone Armor'.blvl)+skill('Hurricane'.blvl))*par8|15|2
231|Cycle of Life|dru|12|Plague Poppy|10|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
232|Feral Rage|dru|12|Wearwolf|3|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||3|8
233|Maul|dru|12|Wearbear|3|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||3|8
234|Eruption|dru|12|Molten Boulder|15|0|1|8|fire|15|6|12|16|18|22|25|6|12|16|19|23|(skill('Firestorm'.blvl)+skill('Volcano'.blvl))*par8|12|8
235|Cyclone Armor|dru|12|Arctic Blast|5|1|1|8||0|0|0|0|0|0|0|0|0|0|0|0||7|8
236|Heart of Wolverine|dru|18|Oak Sage|20|1|1|8||0|0|0|0|0|0|0|0|0|0|0|0||2|8
237|Summon Fenris|dru|18|Oak Sage|20|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||5|8
238|Rabies|dru|18|Feral Rage|10|0|1|8|pois|6|4|5|7|11|16|14|4|5|7|11|16|(skill('Plague Poppy'.blvl))*par8|18|3
239|Fire Claws|dru|18|Feral Rage|4|0|1|8|fire|15|8|12|20|24|30|20|8|12|22|26|34|(skill('Firestorm'.blvl)+skill('Molten Boulder'.blvl)+skill('Volcano'.blvl)+skill('Eruption'.blvl))*par8|22|8
240|Twister|dru|18|Cyclone Armor|7|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||10|7
241|Vines|dru|24|Cycle of Life|14|1|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
242|Hunger|dru|24|Fire Claws|3|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
243|Shock Wave|dru|24|Maul|7|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
244|Volcano|dru|24|Eruption|25|0|1|8|fire|8|2|4|6|8|11|10|2|4|6|8|13|(skill('Eruption'.blvl)+skill('Armageddon'.blvl))*par8|12|8
245|Tornado|dru|24|Twister|10|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||9|8
246|Spirit of Barbs|dru|30|Heart of Wolverine|25|1|1|8||0|0|0|0|0|0|0|0|0|0|0|0||2|8
247|Summon Grizzly|dru|30|Summon Fenris|40|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||5|8
248|Fury|dru|30|Rabies|4|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
249|Armageddon|dru|30|Volcano|35|0|1|8|fire|25|15|20|25|31|38|75|16|22|27|34|40|(skill('Firestorm'.blvl)+skill('Molten Boulder'.blvl)+skill('Volcano'.blvl))*par8|14|8
250|Hurricane|dru|30|Tornado|30|0|1|8|cold|25|7|10|12|14|16|50|7|10|12|14|16|(skill('Twister'.blvl)+skill('Tornado'.blvl))*par8|9|8
251|Fire Trauma|ass|1||24|1|1|5|fire|6|3|8|20|38|58|8|5|11|24|44|66|(skill('Shock Field'.blvl) + skill('Death Sentry'.blvl) + skill('Charged Bolt Sentry'.blvl) + skill('Lightning Sentry'.blvl) + skill('Wake of Fire Sentry'.blvl) + skill('Inferno Sentry'.blvl)) * par8|9|7
252|Claw Mastery|ass|1||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
253|Psychic Hammer|ass|1||16|1|1|6|mag|2|2|3|4|5|6|6|3|4|5|6|7||0|7
254|Tiger Strike|ass|1||1|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
255|Dragon Talon|ass|1||6|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
256|Shock Field|ass|6|Fire Trauma|6|0|1|8|ltng|2|0|0|0|0|0|20|6|12|20|30|42|(skill('Charged Bolt Sentry'.blvl) + skill('Lightning Sentry'.blvl) + skill('Death Sentry'.blvl)) * par8|11|7
257|Blade Sentinel|ass|6||7|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
258|Quickness|ass|6|Claw Mastery|10|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
259|Fists of Fire|ass|6||2|0|1|8|fire|6|5|10|20|30|40|10|5|11|22|33|44|(skill('Royal Strike'.blvl)) * par8|12|8
260|Dragon Claw|ass|6|Dragon Talon|2|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
261|Charged Bolt Sentry|ass|12|Shock Field|13|0|1|8|ltng|2|0|0|0|0|0|14|6|8|12|14|16|(skill('Fire Trauma'.blvl) + skill('Lightning Sentry'.blvl) + skill('Death Sentry'.blvl)) * par8|6|7
262|Wake of Fire Sentry|ass|12|Fire Trauma|13|0|1|8|fire|5|2|3|5|7|9|10|2|3|6|8|10|(skill('Fire Trauma'.blvl) + skill('Inferno Sentry'.blvl)) * par8|8|8
263|Weapon Block|ass|12|Claw Mastery|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
264|Cloak of Shadows|ass|12|Psychic Hammer|13|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||3|8
265|Cobra Strike|ass|12|Tiger Strike|2|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
266|Blade Fury|ass|18|Blade Sentinel|8|1|0|5||0|0|0|0|0|0|0|0|0|0|0|0||0|8
267|Fade|ass|18|Quickness|10|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||1|8
268|Shadow Warrior|ass|18|Cloak of Shadows|54|1|1|7||0|0|0|0|0|0|0|0|0|0|0|0||0|8
269|Claws of Thunder|ass|18|Fists of Fire|4|0|1|8|ltng|1|0|0|0|0|0|80|20|40|60|80|100|(skill('Royal Strike'.blvl)) * par8|8|8
270|Dragon Tail|ass|18|Dragon Claw|10|0|1|8|fire|0|0|0|0|0|0|0|0|0|0|0|0||0|8
271|Lightning Sentry|ass|24|Charged Bolt Sentry|20|0|1|8|ltng|1|0|0|0|0|0|20|10|16|24|34|44|(skill('Shock Field'.blvl) + skill('Charged Bolt Sentry'.blvl) + skill('Death Sentry'.blvl))*par8|12|8
272|Inferno Sentry|ass|24|Wake of Fire Sentry|20|0|1|8|fire|20|17|21|26|32|39|50|19|23|28|34|41|(skill('Fire Trauma'.blvl) + skill('Death Sentry'.blvl)) * par7 + skill('Wake of Fire Sentry'.blvl)*par8|7|4
273|Mind Blast|ass|24|Cloak of Shadows|15|0|1|8|stun|0|0|0|0|0|0|0|0|0|0|0|0||0|8
274|Blades of Ice|ass|24|Claws of Thunder|3|0|1|8|cold|15|8|10|20|30|40|35|8|10|22|32|42|(skill('Royal Strike'.blvl)) * par8|8|8
275|Dragon Flight|ass|24|Dragon Tail|15|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
